,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell,myocyte,other,tumor
TCGA-BA-5556-01A,0.11219865464808082,0.06411611793862104,0.08622225287605931,0.06546745241497692,0.10362489848229972,0.06965746222705867,0.05170489768866037,0.017725140927185076,0.030897741590844855,0.3983853812062133
TCGA-P3-A6SX-01A,0.10662406674984676,0.07563479376523237,0.08619965273492651,0.06378708173896269,0.07349379711890738,0.06666449043654626,0.05071958101213167,0.02239562489790823,0.04834611766662621,0.4061347938789119
TCGA-CV-7242-11A,0.11694649779149982,0.07703874754346664,0.08193964825455921,0.05101512938492414,0.0836070120838826,0.06061031323592203,0.04969358036382733,0.014990366134279664,0.13790585302707087,0.3262528521805677
TCGA-DQ-7592-01A,0.11483849810857001,0.06624803522952048,0.08483431941085888,0.0446907657420461,0.09718396144769417,0.06086441825938649,0.04614240622997024,0.015987506810549303,0.05144295191013478,0.4177671368512697
TCGA-CV-6937-01A,0.07121610501428151,0.07791825696248932,0.08222937949403533,0.08708530787509362,0.0817356093483572,0.06546830729622918,0.07294362594947243,0.028312918575444115,0.09334017081345893,0.3397503186711385
TCGA-QK-A8ZB-01A,0.11675099400937082,0.0767174631351668,0.07894553480250177,0.04226374517721598,0.09641482283118293,0.06316550343772472,0.03880193800472613,0.01194875859474238,0.05354135358227603,0.4214498864250924
TCGA-CV-7432-01A,0.10786149507008917,0.07029391397136842,0.08281540174343639,0.0735727712893712,0.0855876641116508,0.06324808744243203,0.04843626361136654,0.008345691107051995,0.06547658359909161,0.394362128054142
TCGA-CV-7089-01A,0.05415608191539249,0.08002453845711625,0.08972734344785925,0.07717659559853685,0.09495482511278615,0.06895940584033537,0.06695415733847922,0.008048687655848102,0.06682874222892762,0.39316962240471864
TCGA-CV-6939-11A,0.10102549063289358,0.06483409397400323,0.10468473689323826,0.10333438745109919,0.09395980437367771,0.03858367424141304,0.06124549224965911,0.2117488026983505,0.11565991141238878,0.10492360607327668
TCGA-BA-4075-01A,0.09613965690770634,0.07766902741154325,0.08776144513074097,0.07291996568444578,0.09473883629489117,0.06049262559035392,0.051105829468516155,0.018477033265000407,0.06748941845503754,0.37320616179176447
TCGA-T3-A92M-01A,0.06429427163176256,0.07946208912326269,0.09229221576264963,0.06399722754366977,0.10409624220139077,0.05962707257345145,0.07699978660357319,0.005455961087960542,0.07357527383305065,0.38019985963922864
TCGA-BA-4078-01A,0.07256494650097639,0.06803803959384079,0.07896151291729032,0.028644589472057332,0.09774485936095909,0.06309885398426023,0.04641223377446885,0.022623468509668624,0.16046858561745903,0.3614429102690193
TCGA-CV-7100-01A,0.11618186373802722,0.09202403630879553,0.07329872967258053,0.06820208108268341,0.1020355343435613,0.028602237834077726,0.05577045195083241,0.008008605627589432,0.12372632865465791,0.3321501307871944
TCGA-MZ-A7D7-01A,0.09137372058887189,0.07004175324823747,0.07004943431163847,0.09604125763526894,0.07923710694754946,0.028542460325871825,0.06859061624656984,0.030644925244510176,0.08633492504059732,0.3791438004108845
TCGA-QK-A652-01A,0.04488466200865878,0.06925650541480187,0.07995339847987173,0.07314185424218779,0.1218041277242344,0.06833699498376049,0.04373123239774266,0.017641114395343122,0.07583902646097589,0.40541108389242314
TCGA-CV-6433-01A,0.12497843749218215,0.0654498173018912,0.090498229744206,0.10426787193171132,0.10767147873109392,0.06488239980246215,0.06528799362257484,0.0076081486273889675,0.059416284274365835,0.3099393384721235
TCGA-CV-7416-01A,0.11575716163144995,0.06701473118813558,0.11149959951940587,0.09693395133118805,0.07918562632522867,0.06411664703046666,0.043556900892343355,0.009803697110974391,0.04744974620265263,0.3646819387681548
TCGA-CV-A6JY-01A,0.10502776516446227,0.07620122050118944,0.0812285178899728,0.09159746889721886,0.08493238545720266,0.06464859829331168,0.06176781740364095,0.018730583838475215,0.08176271754640028,0.3341029250081257
TCGA-CR-7399-01A,0.12727459089171655,0.04791146729948356,0.09200774832851863,0.06821440434779322,0.12048087268065868,0.06156976810816568,0.056350325510104084,0.01468048353254523,0.0533139358479713,0.3581964034530432
TCGA-CV-7568-01A,0.12647770747512949,0.08689394086551308,0.08430387324457542,0.04140983991252176,0.10615597852420194,0.07237473077354538,0.05555773299558162,0.008857826982147467,0.03459925532274421,0.38336911390403977
TCGA-KU-A66S-01A,0.10994307214694216,0.08139113675755302,0.10084389944952189,0.07020110079263794,0.09715595188488277,0.06325704915981951,0.04895433239005115,0.012255256320115942,0.060180510634031396,0.3558176904644443
TCGA-QK-A6VC-01A,0.12669642598130557,0.06568782207963901,0.07407669107904129,0.07134097401391515,0.09774719344716887,0.06657510409219566,0.0699995933980326,0.009013641435003265,0.15711231890533825,0.26175023556836025
TCGA-CN-6998-01A,0.10782779242759903,0.06367739552698672,0.08372381997448318,0.06483757880597217,0.08507414446628003,0.06693065307586861,0.04839684807216585,0.009993848710565701,0.05863145148161193,0.4109064674584669
TCGA-CV-6941-01A,0.1092690648247346,0.07507855810752027,0.08569989900099859,0.05764059544375981,0.0972012772571659,0.07123909697643573,0.046266113731752156,0.009459763381192574,0.05772501630311614,0.3904206149733243
TCGA-CN-4727-01A,0.05945642481815967,0.07857788242087499,0.09456180548788166,0.08458859122279662,0.0779495076558443,0.06650768456486278,0.05741485678283529,0.012581218325480781,0.08892455128728717,0.3794374774339767
TCGA-BB-A5HY-01A,0.07151861008632245,0.08163649041376843,0.08741581909099605,0.08551109877275709,0.08328257802788132,0.06435061322991889,0.06830224470937807,0.020945615327960722,0.08813142644098297,0.34890550390003405
TCGA-CV-7263-01A,0.11402304695464893,0.06648219107756409,0.11075216548256211,0.09977965862248107,0.08844011106798531,0.059902043597057704,0.04556987245770477,0.009651773470289298,0.043132614117285965,0.3622665231524208
TCGA-H7-A76A-01A,0.13484723618046876,0.056433845775038356,0.0842201951517377,0.08879925928746472,0.12525788836785595,0.0763980992050843,0.0727055714013938,0.006254325829259432,0.1083149671055564,0.24676861169614067
TCGA-CN-4723-01A,0.11107540516946438,0.07276127893691121,0.08094601373162588,0.05814942013657601,0.10061649773351175,0.06689183021962615,0.048319919769953,0.009514640331495105,0.053051376552372326,0.3986736174184642
TCGA-CN-6997-01A,0.10425585221647148,0.07161894463187903,0.08778001471605575,0.04883881079071657,0.0948507526569102,0.06857566006470674,0.04484791571202527,0.011976601809525436,0.05040152752211354,0.416853919879596
TCGA-CN-5364-01A,0.02726468693507979,0.08096538482150523,0.08284539196030463,0.05498301642313446,0.09292759951075553,0.06355950137417928,0.04477297315123649,0.023420775478777023,0.18010614553480325,0.3491545248102243
TCGA-CN-A63V-01A,0.10736083289449953,0.07190616621634126,0.08192892841613368,0.06746537454238871,0.0945077059467691,0.06427146094854341,0.05373519853221516,0.019475432831389063,0.05203319975196062,0.38731569991975945
TCGA-CQ-5325-01A,0.12282823483507455,0.09069649906846419,0.08747978955724504,0.08578802272226074,0.10489205810075451,0.06822727888710486,0.068338813553679,0.03209502792598574,0.07666383869449286,0.2629904366549385
TCGA-CR-7386-01A,0.12525910738640816,0.060916880615277384,0.08019628452313939,0.06182231861244247,0.11444855768662601,0.07230003108106765,0.06808673414528518,0.011638006617141454,0.07449407762352356,0.3308380017090888
TCGA-CX-A4AQ-01A,0.10316474026607292,0.0697580454746104,0.11416125175197019,0.1211188529883031,0.10054902012817289,0.06661920540306769,0.09209003528063398,0.02257739585787812,0.08467607577955931,0.22528537706973137
TCGA-QK-A64Z-01A,0.11280278418056895,0.0698815191131003,0.08963809365318474,0.0673820052320147,0.09555477661386995,0.07342508989149099,0.04304821701123827,0.006403802429359326,0.059741799545306645,0.38212191232986614
TCGA-BB-4225-01A,0.05980171372421096,0.053671476537376216,0.1266364335945823,0.09417935350050016,0.1001853051127113,0.07085203135229581,0.0796777237279318,0.007318075431690962,0.07060954874722945,0.3370683382714711
TCGA-CV-7183-11A,0.10731344134722418,0.07469205283248415,0.08030726710083701,0.09183711015640217,0.08232951579452302,0.06285906176825058,0.06547623308230165,0.012278284792556007,0.08163204782869264,0.34127498529672845
TCGA-T2-A6WZ-01A,0.10451458112385527,0.07443601519107283,0.07832651015779339,0.089036754788742,0.08757541756271046,0.05963534439755416,0.06862018136312274,0.03950510389200663,0.09331020216068789,0.30503988936245474
TCGA-HD-8314-01A,0.08216623619744556,0.07825159195549422,0.09830990322134685,0.06687233931229958,0.10645219782216103,0.057741153516721586,0.06595971248817364,0.05952252113277951,0.242202160106283,0.1425221842472951
TCGA-CR-6473-01A,0.10631560719709582,0.06497404083583112,0.07875059202927404,0.07810154185365188,0.09027666681813677,0.06507499475041775,0.06383863404327904,0.012260595424496657,0.07003636670013728,0.3703709603476796
TCGA-CN-A642-01A,0.11848156746972567,0.07376371827193921,0.06460424965056509,0.0859244998372637,0.0888942597214664,0.06856459235793277,0.06344841868520625,0.015329098094337917,0.06850098179223965,0.3524886141193233
TCGA-BB-A6UO-01A,0.10569582313310413,0.0735456602250856,0.09397517552015563,0.07141964519178484,0.09372230284893236,0.061271053322391196,0.048930990017927056,0.020124029376962605,0.06186262165235792,0.36945269871129843
TCGA-DQ-7591-01A,0.1265425661533543,0.07541273241435881,0.09493157084016163,0.08873391568626202,0.10550200203537434,0.05572320598975252,0.06982153899073221,0.0063140816644737165,0.17512767999061704,0.20189070623491343
TCGA-CR-7398-01A,0.10407758114030205,0.07788481511166008,0.08183601367745197,0.05354173098000017,0.1021342587769718,0.06828689951920923,0.06379403984922927,0.00853721112671091,0.04890739078158563,0.3910000590368788
TCGA-HD-8634-01A,0.1056087181394758,0.07454942163758059,0.08733729805915631,0.07900463661396942,0.08941829749866378,0.06564351836896447,0.05652179222802595,0.019444501510326083,0.07162781314518442,0.3508440027986532
TCGA-CR-7372-01A,0.11109834035619086,0.07558457978678232,0.0872157689203314,0.04999139141862707,0.09958516873586633,0.06654701306689816,0.04789970924078391,0.014007052217555436,0.05957439706091669,0.3884965791960478
TCGA-HD-8224-01A,0.10786908673114286,0.061111608246567924,0.09651797943246163,0.06614494371395245,0.10187260533255878,0.051909727415261786,0.054311376235801005,0.06258828342915566,0.2461089603879524,0.15156542907514545
TCGA-BA-4074-01A,0.1177157096506588,0.07379216971160357,0.07892576975297605,0.03308581529798281,0.10119540368147373,0.051872419567528534,0.04546550903589097,0.01374098871843716,0.1613805236704375,0.32282569091301083
TCGA-CV-6961-11A,0.10238890881085849,0.07408115866025264,0.0900251992705922,0.08270528926754533,0.08543754723871619,0.05910199387564263,0.055328069515051384,0.022780626727142823,0.07963763306960578,0.34851357356459256
TCGA-BB-A5HZ-01A,0.10385729138733794,0.06542114852000859,0.09080346102888338,0.07396109595599958,0.08361940168790057,0.06423104984667902,0.057630994576489604,0.018204426016570276,0.07055576991233768,0.37171536106779324
