,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell,myocyte,other,tumor
TCGA-CV-A45W-01A,0.06815216509092124,0.07504391555111348,0.11724412122563865,0.08001119708777679,0.08539349257614005,0.0807499054606428,0.06812056910333372,0.07315480762322635,0.0827380237421411,0.26939180253906564
TCGA-CQ-7063-01A,0.022545350013145695,0.09850745006159392,0.13638191854828755,0.08674126261875433,0.08641538657971996,0.09504337338411538,0.07408903766442433,0.07571669231899358,0.05203509485811021,0.272524433952855
TCGA-CN-5373-01A,0.03498932155441715,0.11063655449362525,0.12788685365344482,0.1098934156212834,0.08433041381419516,0.09846180853115935,0.05374173427054237,0.05853930780817354,0.03794351555792385,0.28357707469523513
TCGA-CV-A45T-01A,0.02420375085203122,0.08963815989733358,0.11873541824241551,0.08477213597272204,0.09068197858731698,0.081271967630293,0.07198818509586555,0.05187221963749789,0.06134076798293938,0.32549541610158494
TCGA-HD-A4C1-01A,0.04175726103711101,0.08584525996467135,0.10957340378110192,0.07779985109514748,0.06504493479083463,0.08569795015490154,0.050398207240406924,0.06391856749909763,0.09841309781944994,0.3215514666172776
TCGA-CV-7438-11A,0.02818634183469139,0.09679875578814749,0.14903415611354137,0.0825906465639695,0.07927382227039366,0.077919567329375,0.05426901640321472,0.0649938334039177,0.03896148963940674,0.3279723706533424
TCGA-CV-5444-01A,0.03027132314041334,0.08268410369963673,0.14229871334279337,0.15028087274489,0.0929028801029171,0.09954447630358226,0.08262895187802456,0.06561612758871938,0.07073353859028116,0.1830390126087421
TCGA-BA-5556-01A,0.02862342729717916,0.0738798113513194,0.09954480255789079,0.08531513813540834,0.09518224639187238,0.09235797543804866,0.07621435333442422,0.05443068176949308,0.057818302162815985,0.33663326156154805
TCGA-P3-A6SX-01A,0.03127964152498928,0.08952220216315881,0.11511721043837149,0.0930777905736672,0.050944939594826634,0.08533123758661586,0.06205879290868402,0.07074356853827861,0.06285460988451207,0.33907000678689597
TCGA-CV-7242-11A,0.03285912024058294,0.09629982038668923,0.13384522008805091,0.07369444201893817,0.07278571856647773,0.08144742680907253,0.0732927269169468,0.05654500025376295,0.05775916250983151,0.32147136220964734
TCGA-DQ-7592-01A,0.006641509115116807,0.07292389357068293,0.14618765987890558,0.07582698647758086,0.050839844256560573,0.07185679486812153,0.047255246211928,0.03507643234914998,0.1196300198135869,0.3737616134583669
TCGA-CV-6937-01A,0.030371182809756477,0.10019985117458682,0.10611227664066904,0.10179470921359389,0.07462250849208882,0.07724213018832085,0.05678869797416841,0.06939817277309199,0.07875819980188957,0.30471227093183406
TCGA-QK-A8ZB-01A,0.03594965049996844,0.09201896630051917,0.09622095491263544,0.07060901798560741,0.07314635248638865,0.08930115674677618,0.0525214231063926,0.052313580366425534,0.034852563463540785,0.4030663341317458
TCGA-CV-7432-01A,0.03409959825378278,0.09242519148127576,0.10701683486161867,0.09847962364481637,0.06830855948194482,0.07458075529781898,0.055986408426746403,0.05842110469524444,0.04542517127828011,0.36525675257847173
TCGA-CV-7089-01A,0.020651832624626533,0.0922089188151352,0.11834763853757638,0.07202355580198455,0.07442483389298084,0.08127775671682008,0.05340357851148112,0.05657715227242079,0.059474162505716785,0.3716105703212576
TCGA-CV-6939-11A,0.0475260296478955,0.09204441008835713,0.12522731452278163,0.10456960224694696,0.08709248639576526,0.05966710880068986,0.05572652994435845,0.23050258777614552,0.12103842669427499,0.07660550388278453
TCGA-BA-4075-01A,0.02854783550303407,0.10499239184090056,0.09470112929228745,0.08015636929311706,0.08316875603944575,0.080910321019403,0.06025726067476962,0.07325274655673338,0.0598411190972081,0.3341720706831009
TCGA-T3-A92M-01A,0.03593211656682998,0.06761270135566187,0.11846053753787376,0.08378161804876708,0.08003141223795511,0.0952538709525648,0.06473070788304831,0.06677460107187809,0.06242695421536709,0.3249954801300539
TCGA-BA-4078-01A,0.024351215544411456,0.06464247833207551,0.09651657768238275,0.12362904325276494,0.07787378252673677,0.0911559928758314,0.052163562038231734,0.039556188753364044,0.043578559487572915,0.3865325995066284
TCGA-CV-7100-01A,0.037168724315779375,0.08128184278876668,0.09073525246920419,0.11630814284201298,0.07680930909702492,0.08994419391256453,0.0484973577103156,0.0700189208894187,0.10802626355499637,0.2812099924199167
TCGA-MZ-A7D7-01A,0.04857091629778997,0.1042245349641429,0.08906219779863286,0.078733958640661,0.07218575887128807,0.07169208186099046,0.07335064442769555,0.0888975206420967,0.08861097558399944,0.2846714109127029
TCGA-QK-A652-01A,0.023325212462977966,0.08252474228838745,0.1028337858663494,0.08323581011385406,0.07983915912776215,0.07700925531976512,0.05267109191154541,0.05766481390651162,0.06480075552865641,0.37609537347419036
TCGA-CV-6433-01A,0.03837220863464978,0.0693281638526264,0.11689871563051357,0.0808530109123484,0.10831891934571924,0.09221482970619878,0.0764200928728431,0.06267086345274475,0.06742245456244092,0.28750074102991513
TCGA-CV-7416-01A,0.02197422324927903,0.09064086315633785,0.13617632435010307,0.1163517821021187,0.06623240777932693,0.09650882695713695,0.05069598958698798,0.05927774364368856,0.04703601124213517,0.3151058279328859
TCGA-CV-A6JY-01A,0.03931299820010537,0.1015541144426798,0.11638657745510617,0.06781112715608809,0.07589454623906759,0.08002598515620486,0.07203665050781068,0.08386235438779137,0.08169209233656792,0.2814235541185783
TCGA-CR-7399-01A,0.027126652804034115,0.06429854195092219,0.1267791129916503,0.06597348960730888,0.117939995697568,0.09765337146249467,0.06868690035782689,0.06356843495913468,0.02604534073473172,0.3419281594343286
TCGA-CV-7568-01A,0.03128999573033463,0.10744196829474595,0.13974521775599158,0.1529166224536472,0.0843336100046026,0.08413070243440986,0.04949308702368085,0.03778710576120511,0.08724103114490532,0.22562065939647682
