,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell,myocyte,other,tumor
TCGA-BB-4224-01A,0.019068163029127314,0.014869406402439648,0.02018641732405745,0.08578035923903975,0.04082687156599903,0.015319809089504482,0.04273066965706793,0.022900243249763683,0.0387902661474616,0.6995277942955391
TCGA-H7-7774-01A,0.020672928721385413,0.015118132242903764,0.019673596189801766,0.10481242206193554,0.036195762787159344,0.016096876671411367,0.03662234879404326,0.023661214367232824,0.013120760333768149,0.7140259578303586
TCGA-CV-6943-01A,0.019256500071186074,0.02038280594622044,0.020924307557941172,0.16328760135571843,0.11135345141504183,0.015312820837096092,0.06982270551138059,0.02458676886620743,0.005673641296747486,0.5493993971424606
TCGA-CN-5374-01A,0.025818248781391013,0.027091293328743042,0.035039944523582604,0.04025944921855288,0.042729681891119885,0.018825288095500013,0.025967684006375297,0.030281014903690125,0.6176971774856073,0.1362902177654378
TCGA-CQ-6227-01A,0.019619709844284145,0.02432867056850931,0.02132777271959202,0.11482414004366315,0.033488519371483116,0.016463472861367574,0.03308097479622106,0.06598456914897582,0.0050747586187899095,0.6658074120271139
TCGA-CV-6959-01A,0.018991914548455047,0.014619330943580382,0.03453092815486595,0.090864749132448,0.06658253048742394,0.014580517299785071,0.04610596122248307,0.10543934775836208,0.04287648185066384,0.5654082386019326
TCGA-F7-A61V-01A,0.020027058711092127,0.016151703180468116,0.020985155075616012,0.05806534581447845,0.037866067203654076,0.016344821859495248,0.05159516530899375,0.033315342314824206,0.008079242675813347,0.7375700978555648
TCGA-CV-7413-01A,0.018997762085241253,0.01739237423442447,0.021320123083939053,0.051140046563994485,0.04239540212314301,0.01539033125539506,0.13277362412024235,0.02419129658091783,0.007360779703234252,0.6690382602494683
TCGA-CV-7247-01A,0.02117465382932154,0.01702846890407173,0.04754510561117562,0.02875811719132706,0.036845445298577736,0.015264491144706,0.020123096619987343,0.12465875603897023,0.029898649924393922,0.6587032154374689
TCGA-CR-5249-01A,0.024355004879827172,0.017904476509095327,0.028073681277679285,0.03563884581555085,0.06791694821672523,0.017092513994720636,0.0213807139670651,0.03063324277653947,0.606143216607995,0.15086135595480182
TCGA-CQ-5331-01A,0.01829270006513919,0.016570758796722474,0.02022958471858687,0.14310797926780403,0.10363139308968454,0.014548854343561691,0.08147187166153311,0.023061798086448697,0.00981869661027021,0.5692663633602492
TCGA-BB-8601-01A,0.02055500132509212,0.01754918390434649,0.03159407780957022,0.044731316813852354,0.035923779653524536,0.019499682982664822,0.019496073552476453,0.023070399086821684,0.011419026702201216,0.77616145816945
TCGA-CV-A45W-01A,0.07786981241103004,0.01621883132757459,0.03234554263870718,0.04434251549737298,0.06661004612024475,0.02105001789017007,0.07144939444661447,0.02512562935630732,0.008587189416253523,0.6364010208957251
TCGA-CQ-7063-01A,0.019229311719564768,0.021879246303709042,0.0326119599429034,0.19320872449777243,0.08528377555740226,0.015691618838940016,0.027113670486604322,0.023000994800656864,0.017725463220040812,0.564255234632406
TCGA-CN-5373-01A,0.01982625264910601,0.014259392024452493,0.020957513642645115,0.25395304599408974,0.06602655386867266,0.017628717594984782,0.07429420257528833,0.05115839062562472,0.00759940878041045,0.47429652224472557
TCGA-CV-A45T-01A,0.025532933995801952,0.02416218393176306,0.02160447855258009,0.1103946029214013,0.056024948686377835,0.020236736966530593,0.05485680343768161,0.029284687817306903,0.011421330667204244,0.6464812930233523
TCGA-HD-A4C1-01A,0.019610427695560432,0.015318681976476116,0.019899465624794388,0.12073536165507565,0.03579137528907212,0.0156875573928482,0.025660003704524002,0.023902855358126904,0.04536784493822019,0.6780264263653021
TCGA-CV-7438-11A,0.019384664729869765,0.014692025773187328,0.019993867708272963,0.17472654808621196,0.06385243743159484,0.015714176712400583,0.04193505734706905,0.023604448305656934,0.01865835809069127,0.6074384158150453
TCGA-CV-5444-01A,0.01883393530680652,0.013080549146460042,0.020691170856774944,0.08025148452653104,0.09896515692714193,0.014457393389615858,0.06056251082911681,0.13323177998809696,0.22230752374243498,0.33761849528702104
TCGA-BA-5556-01A,0.0182667645662753,0.02129368693514329,0.025237772484014532,0.11247927581805485,0.09779305078852339,0.014284388716596626,0.0663918861224808,0.029929338736688828,0.0060562524401218685,0.6082675833921005
TCGA-P3-A6SX-01A,0.022575053989700892,0.028968933410724897,0.05489001782039835,0.0317819812975074,0.03581012862215732,0.022579103641927018,0.017000286850443608,0.03737907047749352,0.006405031733748753,0.7426103921558983
TCGA-CV-7242-11A,0.020705002904425233,0.027555588995217824,0.02797603845515659,0.24935790145921385,0.055174742291025716,0.02570729509233918,0.014421104858968635,0.023813832656077602,0.11012327502849589,0.4451652182590795
TCGA-DQ-7592-01A,0.019084864828142183,0.02621038815482449,0.02219324119565831,0.045695028047357956,0.033342986953240755,0.016802580969757275,0.07894975280607437,0.028307058320289857,0.016855497817060958,0.7125586009075938
TCGA-CV-6937-01A,0.019120399085218315,0.01617677876266577,0.02162522296144807,0.04731481390367062,0.060224120907176715,0.015108763410079036,0.05713596944600599,0.024317031568277962,0.010039539099403878,0.7289373608560535
TCGA-QK-A8ZB-01A,0.0293599754312834,0.015912518253642396,0.05501122692971464,0.11721554285709336,0.037169835912737224,0.017089812677448923,0.028717531452326615,0.023244480657640287,0.01791588516156759,0.6583631906665457
TCGA-CV-7432-01A,0.023447683266503934,0.015781695300810045,0.019872040665969797,0.06765976324540458,0.03619128016598254,0.016132034959659192,0.07017238893279543,0.023092887359279175,0.006354470486985038,0.7212957556166103
TCGA-CV-7089-01A,0.023053697973726344,0.016610770706411124,0.021276243053323856,0.04497198318217316,0.03479851772183994,0.016558981563522337,0.06608823974070956,0.026064002937376735,0.014292482422177972,0.7362850806987391
TCGA-CV-6939-11A,0.035387080805849,0.02105889579686435,0.059929819304997016,0.04265226575786492,0.04381243253849899,0.02329271340253487,0.02497956305416703,0.5058995109769923,0.18157155089527405,0.06141616746695754
TCGA-BA-4075-01A,0.019588686150785593,0.03215011561808764,0.025348203961291654,0.0302792573488403,0.040831004116510895,0.016108558980479366,0.015414999577036733,0.022955012702870432,0.007333050529760496,0.7899911110143369
TCGA-T3-A92M-01A,0.028379190441139332,0.019677125193371604,0.021446740294991124,0.029842254372857965,0.05920649886716057,0.016053723275250318,0.01398258172044436,0.0238574395694716,0.26011858493806367,0.5274358613272495
TCGA-BA-4078-01A,0.018419558749425205,0.017863824098050048,0.12891604920677563,0.0538316476202271,0.08875706545041295,0.013786474755161987,0.06425228698190265,0.02180218002096526,0.01722687561141528,0.5751440375056637
TCGA-CV-7100-01A,0.020417463108758187,0.017485014499273862,0.024627772870801912,0.039955515664878656,0.04327336634507487,0.015887466322974778,0.036536693914783966,0.027347507467223895,0.5265373108314665,0.24793188897476337
TCGA-MZ-A7D7-01A,0.0205904525277224,0.017508933467484604,0.026506912416381027,0.0833577853819229,0.03421447563580259,0.022738539084999104,0.030314015847403036,0.02667834688630027,0.019888568284861914,0.7182019704671222
TCGA-QK-A652-01A,0.02329143109807987,0.014341318369527904,0.02068737100771001,0.11706993091188014,0.03653502771966207,0.016753376251280042,0.036075050471975914,0.2256623833995033,0.02301267056441187,0.4865714402059688
TCGA-CV-6433-01A,0.02032969072650936,0.05473969818809841,0.02598578968708744,0.036563854220897134,0.15827488351779254,0.014696346397487308,0.11767859420351373,0.02458567926972246,0.010358359967017946,0.5367871038218737
TCGA-CV-7416-01A,0.01971361363366619,0.02000651578783313,0.020467888059191627,0.13210522255897014,0.039029316699804056,0.01499117573826395,0.01914578986609289,0.02421867891141868,0.3219939213872539,0.3883278773575054
TCGA-CV-A6JY-01A,0.021091843296285724,0.032744159359335466,0.023529196983133764,0.1174327929882905,0.03418050324772178,0.016939905054965856,0.02569130800327984,0.023703211945092367,0.005482281691925482,0.6992047974299692
TCGA-CR-7399-01A,0.01691577346005139,0.020046559285371916,0.020886988195764244,0.0361689041600338,0.13640503312416385,0.013010929069472614,0.09136564969490445,0.023104659137876432,0.18475666592921933,0.457338837943142
TCGA-CV-7568-01A,0.023139547650743258,0.020998170112760676,0.024306247682260584,0.3606432955599737,0.03747267961631866,0.01824637053816036,0.04524158487180438,0.05855562994104681,0.009271241069019163,0.40212523295791236
TCGA-KU-A66S-01A,0.026602457859156745,0.015129771074428738,0.01955179609838949,0.1013432840892836,0.035171352910058816,0.01594312768086814,0.020511591046871096,0.023758840377361663,0.28361925852713976,0.458368520336442
TCGA-QK-A6VC-01A,0.021915922486829744,0.01744310630243564,0.022302145488818464,0.13709401852859898,0.06613859891505036,0.015964777572463094,0.015839481667947068,0.02683056190144629,0.432219772645442,0.24425161449096836
TCGA-CN-6998-01A,0.02582994011190386,0.015092467326006609,0.019481800894894968,0.08106892823394621,0.03526587972920881,0.01705630224085578,0.06719326099376968,0.022446312178583908,0.017253461911887615,0.6993116463789425
TCGA-CV-6941-01A,0.020861437536444725,0.017122132009072914,0.020133996453267466,0.13251831750369947,0.035334446178533416,0.018171992433473963,0.0461163752636768,0.027632451976624447,0.006086883507742293,0.6760219671374644
TCGA-CN-4727-01A,0.0192965538639008,0.02231706783735113,0.022370853380514095,0.03355848604528656,0.03438873298294195,0.028920330323684223,0.05986136363403788,0.024828363948194477,0.018807526498875408,0.7356507214852135
TCGA-BB-A5HY-01A,0.022476615430779827,0.046863574327285884,0.025379147979197655,0.03129353602012566,0.034490945092653734,0.019175985318461028,0.016195279286741797,0.02353686630084628,0.01684060760144983,0.7637474426424584
TCGA-CV-7263-01A,0.018515453082791632,0.01513742079970052,0.02051991412336432,0.0867647874275315,0.04176259875161923,0.015395840786415427,0.07007532350999143,0.0710496273692571,0.1832496707018595,0.47752936344746927
TCGA-H7-A76A-01A,0.045516899815379236,0.08305005697520558,0.042383778936155185,0.035421777931377345,0.18957506244361666,0.018303429613712535,0.010622916745005857,0.02769238281718169,0.26133435930480436,0.28609933541756155
TCGA-CN-4723-01A,0.020864077662320544,0.014791569492417833,0.019741620814050644,0.0974280184033478,0.051915353916951054,0.016858313278621972,0.09850413755519352,0.022951931578617208,0.015985985918874488,0.640958991379605
TCGA-CN-6997-01A,0.018857907163683463,0.015303451396703804,0.022942658086685518,0.06101221593129409,0.04106338648227158,0.015504851733715687,0.06416897848041929,0.02674598750433454,0.01862632867587706,0.715774234545015
TCGA-CN-5364-01A,0.01930735523267316,0.017070911524750963,0.021218868304205475,0.029804715965770015,0.05621139566588074,0.020484058857812133,0.02271008677042664,0.06096943226963131,0.3389455212108283,0.4132776541980212
