"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"20",0,0,0,0,0.289415648414515,0.00609316390876821,0,0,0,0.704491187676717
"0",0,0,0,0,0.289415648414515,0.00609316390876821,0,0,0,0.704491187676717
