"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BA-4074-01A",0,0,0.250398333073531,0.134715388579511,0.0259179740197449,0,0.093528584046086,0,0,0.495439720281126
"TCGA-CV-6961-11A",0,0,0,0,0,0,0,0,0,1
"TCGA-BB-A5HZ-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-5332-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-7380-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6936-01A",0,0,0,0,0.15873713547024,0,0,0,0,0.841262864529761
"TCGA-MZ-A6I9-01A",0,0,0,0,0.0537624984499271,0,0.119758963125337,0.161523137855917,0,0.664955400568819
"TCGA-QK-AA3J-01A",0,0,0.149440476915459,0,0,0,0.0271859598023185,0.104580195318261,0,0.718793367963961
"TCGA-BA-4077-01B",0,0,0,0,0.17204744339745,0,0,0,0.0212906498498555,0.806661906752695
"TCGA-CQ-A4C7-01A",0,0,0,0.000822499826475823,0.00685781387319287,0,0,0,0,0.992319686300331
"TCGA-CV-7422-01A",0,0,0,0.00491376659665744,0.0915557316598975,0,0.0399537592102701,0,0,0.863576742533175
"TCGA-CQ-A4CB-01A",0,0,0,0,0,0,0,0,0.0332813687611224,0.966718631238877
"TCGA-F7-7848-01A",0,0,0,0,0.122714099087321,0,0,0,0,0.877285900912679
"TCGA-CR-7392-01A",0,0,0,0,0.016304682567729,0,0,0,0,0.983695317432271
"TCGA-CV-7178-11A",0,0,0,0,0.0317705000411815,0,0,0.601574132969997,0,0.366655366988822
"TCGA-QK-A6VB-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CX-7082-01A",0,0,0,0,0.0186965549607852,0,0,0,0,0.981303445039215
"TCGA-CV-7414-01A",0,0,0,0,0.00876816860112008,0,0.0376768221873642,0.0587841421559283,0,0.894770867055588
"TCGA-CN-A63W-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BA-5557-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7435-01A",0,0,0,0.194474873885376,0.0471594644979403,0,0,0,0,0.758365661616683
"TCGA-UF-A7JT-01A",0,0,0.0395599317795697,0,0.102690776661809,0,0,0,0,0.857749291558621
"TCGA-QK-A6IF-01A",0,0,0,0,0.387185949373724,0,0,0,0,0.612814050626276
"TCGA-QK-A6IJ-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7248-01A",0,0,0,0,0.147425218996172,0,0,0,0,0.852574781003828
"TCGA-CV-7101-11A",0,0,0,0,0.0581282936107604,0,0.029649354731937,0.912222351657303,0,0
"TCGA-H7-A6C4-11A",0,0,0,0,0,0,0.630036979744495,0,0,0.369963020255505
"TCGA-CV-6942-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-RS-A6TP-01A",0,0,0,0,0,0,0,0,0.0451861274159491,0.954813872584051
"TCGA-CV-7091-11A",0,0,0,0,0,0,1,0,0,0
"TCGA-D6-A6EM-01A",0,0,0,0,0.0350474388652466,0,0.0965397257764223,0,0,0.868412835358331
"TCGA-CV-7101-01A",0,0,0,0,0.0270484295659947,0,0,0,0,0.972951570434005
"TCGA-CR-7371-01A",0,0,0,0,0.111613601197674,0,0,0,0.0252640684692718,0.863122330333054
"TCGA-CQ-5329-01A",0,0,0,0,0.00780471733854426,0,0,0.0132797826898918,0,0.978915499971564
"TCGA-H7-8502-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-6989-01A",0,0,0,0.0650322394542961,0.113088334638874,0,0.0161361457895808,0,0,0.80574328011725
"TCGA-CN-5360-01A",0,0,0,0,0.356408439656909,0,0,0,0,0.643591560343091
"TCGA-CV-7097-11A",0,0,0,0,0.280287667126983,0.00165972727334758,0.673551635655882,0,0.0445009699437876,0
"TCGA-CV-7429-01A",0,0,0,0.192162170958087,0.205026988853904,0,0.0885073604355416,0,0,0.514303479752468
"TCGA-H7-A6C4-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BA-5153-01A",0,0,0,0,0.351455398045193,0,0.044570817276843,0,0,0.603973784677964
"TCGA-BB-8596-01A",0,0,0,0.268865899844851,0.150644014483355,0,0,0,0,0.580490085671793
"TCGA-CR-7369-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-7071-01A",0,0,0,0,0,0,0,0,0,1
