"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BA-4074-01A",0,0.033359176374752,0.164410240828635,0.187733118041814,0,0,0.0779550534910766,0,0.0113332145048452,0.525209196758877
"TCGA-CV-6961-11A",0,0,0,0,0,0,0,0,0,1
"TCGA-BB-A5HZ-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-5332-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-7380-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6936-01A",0,0,0,0,0.116937850067045,0,0,0,0,0.883062149932955
"TCGA-MZ-A6I9-01A",0,0,0,0,0.0235383747045582,0,0.113120765867488,0.115196602043604,0,0.74814425738435
"TCGA-QK-AA3J-01A",0,0,0,0,0,0.000674909549691965,0.00505556268349517,0.355970469775836,0,0.638299057990977
"TCGA-BA-4077-01B",0,0,0,0,0.142694265412596,0.000488328370866285,0,0,0,0.856817406216537
"TCGA-CQ-A4C7-01A",0,0,0,0.023161808349363,0,0,0,0,0,0.976838191650637
"TCGA-CV-7422-01A",0,0,0,0,0,0,0.0468876847628519,0,0,0.953112315237148
"TCGA-CQ-A4CB-01A",0,0,0,0,0,0,0,0.0669634967583243,0,0.933036503241676
"TCGA-F7-7848-01A",0,0,0,0,0.0328736384256637,0,0.0046688378367255,0.0130616732250458,0,0.949395850512565
"TCGA-CR-7392-01A",0,0,0,0,0.0114950444149677,0,0,0,0,0.988504955585032
"TCGA-CV-7178-11A",0,0,0,0,0,0,0,0.470469207449385,0,0.529530792550615
"TCGA-QK-A6VB-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CX-7082-01A",0,0,0,0,0,0,0.0260307331934525,0,0,0.973969266806547
"TCGA-CV-7414-01A",0,0,0,0.0102578602503135,0,0,0.0332436359128498,0,0,0.956498503836837
"TCGA-CN-A63W-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BA-5557-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7435-01A",0,0,0,0.266633853266944,0,0,0,0,0,0.733366146733056
"TCGA-UF-A7JT-01A",0,0,0,0,0.0974429509149761,0,0,0.0346281504084123,0,0.867928898676612
"TCGA-QK-A6IF-01A",0,0,0,0,0.29083405941049,0,0.0686662602513687,0,0,0.640499680338142
"TCGA-QK-A6IJ-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7248-01A",0,0,0,0,0.045645593396666,0,0,0,0,0.954354406603334
"TCGA-CV-7101-11A",0,0,0,0,0.0885089464911696,0,0.0219112778726636,0.858628597133552,0,0.0309511785026151
"TCGA-H7-A6C4-11A",0,0,0,0,0,0,0.632612414269857,0,0,0.367387585730143
"TCGA-CV-6942-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-RS-A6TP-01A",0,0,0,0,0,0,0,0.0533372568690801,0,0.94666274313092
"TCGA-CV-7091-11A",0,0,0,0,0,0,1,0,0,0
"TCGA-D6-A6EM-01A",0,0,0,0,0.0401677852885804,0,0.0793027747194235,0,0,0.880529439991996
"TCGA-CV-7101-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-7371-01A",0,0,0,0,0.0560715496060447,0,0.0209773009471811,0,0,0.922951149446774
"TCGA-CQ-5329-01A",0,0,0,0,0.00633774939747737,0,0,0,0,0.993662250602523
"TCGA-H7-8502-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-6989-01A",0,0,0,0.113805986578127,0.0397954457916803,0,0,0,0,0.846398567630193
"TCGA-CN-5360-01A",0,0,0,0,0.258965321593335,0,0.0340152760683954,0,0,0.70701940233827
"TCGA-CV-7097-11A",0,0,0,0.0875982005533451,0.0963112883705234,0,0.795757650209501,0.0203328608666302,0,0
"TCGA-CV-7429-01A",0,0,0,0.244179663424634,0.0785960746812081,0,0.126825222233582,0,0,0.550399039660577
"TCGA-H7-A6C4-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BA-5153-01A",0,0,0,0,0.331713119130029,0,0.0105546750302677,0,0,0.657732205839703
"TCGA-BB-8596-01A",0,0,0,0.355245394341344,0.0656531281222254,0,0,0,0,0.579101477536431
"TCGA-CR-7369-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-7071-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BA-A6DB-01A",0,0,0,0,0,0,0,0.0384341783434222,0,0.961565821656578
"TCGA-CV-A6K1-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-MT-A51X-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-4P-AA8J-01A",0,0,0,0.0191327098087278,0.00101688643282302,0,0,0,0,0.979850403758449
"TCGA-CV-5439-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BA-A4IF-01A",0,0,0,0,0,0,0.0137517336507961,0,0,0.986248266349204
"TCGA-D6-A4Z9-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7437-01A",0,0,0,0,0,0,0.0990867569234694,0,0,0.900913243076531
"TCGA-CR-6484-01A",0,0,0,0,0.113403645375303,0,0,0,0,0.886596354624697
"TCGA-CV-7245-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-5327-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-DQ-7588-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-7373-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CX-7085-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-F7-A50J-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-6228-01A",0,0,0,0,0,0,0.157579343747875,0,0,0.842420656252125
"TCGA-CQ-6222-01A",0,0,0,0,0,0,0.142405599283932,0,0,0.857594400716068
"TCGA-IQ-7630-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7103-11A",0,0,0,0,0,0,0,0,0,1
"TCGA-D6-A6EP-01A",0,0,0,0.876041468755507,0,0,0,0,0,0.123958531244493
"TCGA-CV-7250-11A",0,0,0,0,0.0379437164924997,0,0.661256124023968,0,0,0.300800159483533
"TCGA-D6-6825-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-5432-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-6013-01A",0,0,0,0,0.188087460424895,0,0,0.0470803825436838,0,0.764832157031421
"TCGA-CV-6939-01A",0,0,0,0.134522795933866,0.244082722697645,0,0.0175495591993239,0,0,0.603844922169164
"TCGA-CR-6477-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-WA-A7H4-01A",0,0,0,0,0,0,0,0.0344625913029454,0,0.965537408697055
"TCGA-CN-5358-01A",0,0,0,0.0890417526876218,0.027398356849653,0,0,0,0,0.883559890462725
"TCGA-CR-7397-01A",0,0,0,0.225512585180832,0,0,0,0,0,0.774487414819168
"TCGA-F7-A61W-01A",0,0,0,0,0,0,0,0.047499516374129,0,0.952500483625871
"TCGA-BA-5558-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-5976-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6954-01A",0,0,0,0,0.000625032857874373,0,0,0,0,0.999374967142126
"TCGA-CR-7395-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7411-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-D6-A6EQ-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7095-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-A463-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-4722-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-QK-A8Z7-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6961-01A",0,0,0,0,0,0,0.133607992165723,0,0,0.866392007834277
"TCGA-CN-5365-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-5248-01A",0,0,0,0,0.344335164811188,0,0.135168885072019,0,0,0.520495950116793
"TCGA-CV-6962-01A",0,0,0,0,0,0,0.125571581164794,0,0,0.874428418835206
"TCGA-D6-6517-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-6491-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7242-01A",0,0,0,0,0.0981784248110767,0,0.0230856676630097,0,0,0.878735907525914
"TCGA-CV-A45R-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-KU-A66T-01A",0,0,0,0,0,0,0.0472901666409526,0,0,0.952709833359047
"TCGA-BB-4223-01A",0,0,0,0,0.11906596983519,0,0.152652942834392,0,0,0.728281087330419
"TCGA-CV-A468-01A",0,0,0,0,0.0452781166156743,0,0,0,0,0.954721883384326
"TCGA-D6-6516-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-6219-01A",0,0,0,0,0.0991897084472381,0,0,0,0,0.900810291552762
