"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BB-4224-01A",0,0.00235202006493199,0.00815860454938709,0,0.00471832705970136,4.40823983710592e-05,0.00210123394119062,0,0.000396724568580412,0.982229007417837
"TCGA-H7-7774-01A",0.000375950940472551,0.000509547741157439,0.00667576400883301,0,0.00411588931092715,0.000289262240950905,6.92901226009973e-06,0,0.00107810491744516,0.986948551827954
"TCGA-CV-6943-01A",0.00246805765759133,0,0.0235949244395083,0.115499529128394,0.0677810099626891,0.000323973950329101,0.00101078435340401,0,0,0.789321720508084
"TCGA-CN-5374-01A",0.00358831665560774,0,0.0135409777444292,0,0.00626931097372334,0.000139952690141845,0.00791611005432117,0,0,0.968545331881777
"TCGA-CQ-6227-01A",0,0,0.0290212151527232,0.123887372137382,0.00343495916727777,0.000204918724768157,0.0627941084672104,0,0,0.780657426350638
"TCGA-CV-6959-01A",0.00130587128030497,0.000129389371550887,0.0182906337564834,0.0115975135039091,0.0106826747356775,7.86882695266747e-05,0.0540602818769421,0,0,0.903854947205605
"TCGA-F7-A61V-01A",0.000516419380650493,9.31842497285603e-05,0.00756169946199082,0,0,1.12286020942362e-06,0.0208225663504094,0.0149875373560196,0,0.956017470340992
"TCGA-CV-7413-01A",1.03358313885412e-07,0,0.00685512654472795,0.0622213906491492,0.00789210132404085,6.10032028964765e-05,0,0,0,0.922970274920872
"TCGA-CV-7247-01A",0,4.41031981653499e-05,0.0161367311924826,0.00839946541843314,0,2.08418545082221e-05,0.0557948962764789,0,0,0.919603962059932
"TCGA-CR-5249-01A",0.00444871067538902,0.00112953569826214,0.0107626065824527,0.00243835946459328,0.00862107925260235,0.000395996577764692,0,0,0,0.972203711748936
"TCGA-CQ-5331-01A",0.00059471120129417,0,0.0126756220900794,0,0.0243726672195523,3.37186529006592e-05,3.48906572750817e-05,0,0,0.962288390178898
"TCGA-BB-8601-01A",0.00260650389589558,0,0.00769235843523013,0,0,0.000247274314317203,1.86307847737002e-05,0,0,0.989435232569783
"TCGA-CV-A45W-01A",0.0370420619084749,0.000168914062655124,0.0354840880407794,0.0610308090209829,0.0303143380398023,0.00020017282011541,7.24738219001761e-06,0.00704831517570081,0,0.828704053549299
"TCGA-CQ-7063-01A",0,0.000196890450531446,0.00813944725840182,0.00151885443147679,0.0213701541778833,0.00012455305863724,0.000184473073081771,0,0,0.968465627549988
"TCGA-CN-5373-01A",0.000131775189782,0.0015418302830474,0.00905781339818977,0.0517113899904707,0.0119434748394416,0.000263418260769539,0.00133009764614473,0,0,0.924020200392154
"TCGA-CV-A45T-01A",0.00440556811217286,0,0.022130449670623,0.0704959397763711,0.0318933954371147,0.000205238579992149,0.0174565879172305,0,0,0.853412820506496
"TCGA-HD-A4C1-01A",0.000962776593323632,0.000106733236578484,0.0100804932443343,0.00161569102424088,0.00249048054476457,0,0,0,0.00121620303210272,0.983527622324655
"TCGA-CV-7438-11A",0.00197684405775451,0.000654852232917419,0.0104640702979889,0,0.0023110415939138,0.000151679927444176,0.00327824614838622,0.0245245861715281,0,0.956638679570067
"TCGA-CV-5444-01A",0.000924476172431053,0,0.0361456067372527,0.264982015481122,0.0805841817818398,0.000143208115936392,0.0862352563999778,0,0,0.53098525531144
"TCGA-BA-5556-01A",0.00126797789498751,0,0.0136659288489345,0,0.0171732950011073,9.02530699351441e-05,0,0,0,0.967802545185036
"TCGA-P3-A6SX-01A",0,0,0.005616464028855,0.00981387329304201,0,6.05077861315881e-05,0.00842053624473232,0,0,0.976088618647239
"TCGA-CV-7242-11A",0,0.000520653224273624,0.0104088010437921,0,0.00503745179822397,5.27512245927643e-05,4.2881862858976e-05,0.0182028061384203,0.00124540471952978,0.964489249988309
"TCGA-DQ-7592-01A",0,0.0010031432979327,0.00516277537673569,0.0229087407926482,0.00251463830157808,0.000118638099445931,0.00755103189524531,0,0.00165189451537272,0.959089137721041
"TCGA-CV-6937-01A",0,9.57175248855474e-05,0.00592839899570595,0.071085302626124,0.0105827328444228,3.0684200820387e-05,5.72696432153693e-05,0.000175733069055522,0,0.91204416109577
"TCGA-QK-A8ZB-01A",0.00823443282943944,0,0.0113128653567541,0.00744135354621223,0,0.00011769613737847,0,0,0,0.972893652130216
"TCGA-CV-7432-01A",0,0,0.00413702194669588,0,0,4.64885486613116e-05,2.7934820379796e-05,0,0,0.995788554684263
"TCGA-CV-7089-01A",0,0.000221187789816873,0.0144755827363103,0,0.00191012489028866,0.000359641103180413,0,0,0,0.983033463480404
"TCGA-CV-6939-11A",0.000605620049345778,0,0.031623507135831,0.0950442186790839,0.00568817033846492,0,0.824859078779523,0.0421794050177519,0,0
"TCGA-BA-4075-01A",0,0.000101801572224709,0.0109901948561597,0,0.00927928849026553,1.76412860131008e-05,0.00461532990070976,0,0,0.974995743894627
"TCGA-T3-A92M-01A",0.00546679208789208,0,0.0114282359743187,0.096383223287162,0.0178181674849208,8.35840735970293e-05,0,0,0,0.868819997092109
"TCGA-BA-4078-01A",0.000185882090383166,0,0.0233756808044542,0.108799589449333,0.0199977838855272,0.00012953766691679,3.42789448232394e-06,0.000905799133248264,0,0.846602299075655
"TCGA-CV-7100-01A",0,0.000107150143042946,0.018663042674072,0.0796830838389733,0.0232939031696333,9.17891897389128e-05,0,0.00305590438954335,0.000530781977055953,0.87457434461794
"TCGA-MZ-A7D7-01A",0.000241172742191578,0,0.003484330330209,0,0,7.74328722974651e-05,1.49314306532607e-05,0,0.00090031120463562,0.995281821420013
"TCGA-QK-A652-01A",0,0.000854240114701748,0.0191710103459562,0.0027547216798325,0.00508201223539513,0.000370159229762087,0.108631089755097,0,0,0.863136766639255
"TCGA-CV-6433-01A",0.00303989259306476,0.000876800809355582,0.00600685306622883,0.011119008284106,0.0732254804667026,7.67923979861171e-05,3.01920066197124e-05,0.0104365846624684,0.00734117605721276,0.887847219656255
"TCGA-CV-7416-01A",0,0,0.0184987602026178,0.0925557829160952,0.0147333133059463,5.17479931085639e-05,0,0.0290507133180755,0,0.845109682264157
"TCGA-CV-A6JY-01A",0.00149611042271617,0,0.00872921458345454,0,0.000487710129402229,0.00047899922664314,5.52432555819919e-05,0,0,0.988752722382202
