"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-CV-A45W-01A",0.0648927633012898,0.00083952777518903,0.0449879870996657,0.0770357442971222,0.0823976418239197,0.000280488792850451,0.000189842896976335,0,0,0.729376004012987
"TCGA-CQ-7063-01A",0,0,0.0150483262326469,0.00823383970728306,0.058687302285022,0.000210315409896026,6.87665988921086e-05,0,0,0.91775144976626
"TCGA-CN-5373-01A",0.000331552697175265,0.00112611622236189,0.0177145696761082,0.0198632466972247,0.015379355086331,0.000262571797938649,0.00165925700548522,0,0.00451012327906453,0.939153207538311
"TCGA-CV-A45T-01A",0.00518911103015477,0.00381741076964895,0.030531162541446,0.0573139445675076,0.0567939153062249,0.000286811486494828,0.0223718445866352,0,0.00409718450897458,0.819598615202913
"TCGA-HD-A4C1-01A",0.00082147945938789,0.000400506260880538,0.0159914477261325,0.0229555701951457,0.00463264264058179,0,0,0,0.00344223942611901,0.951756114291753
"TCGA-CV-7438-11A",0.00290624641716345,0,0.0170650206291004,0.0107404127729976,0.0227915404551341,0.000214562535801137,0.00596654507224849,0,0,0.940315672117555
"TCGA-CV-5444-01A",0.000798316461677087,0,0.0220528007566789,0.212703539967126,0.152031332418663,0.000162673440016379,0.0679647279156875,0,0,0.544286609040152
"TCGA-BA-5556-01A",0.0024695621404449,0.00287716100958161,0.0262037572038352,0.0109571575683502,0.0715095492739835,0.00014846861553355,0,0,0,0.885834344188271
"TCGA-P3-A6SX-01A",0,0,0.00729013836337176,0.02293267032812,0,0.000115399064126712,0.0104482470182048,0,0.00139127094296774,0.957822274283209
"TCGA-CV-7242-11A",0.000220316906781622,5.15208575837341e-05,0.0197667034891462,0.0148200153033515,0.0157763011276767,0.000124988285747579,4.45384636013339e-05,0,0.00250830929841985,0.946687306267691
"TCGA-DQ-7592-01A",0.000122786839267095,0.000421868994584282,0.0128232501927473,0.0205146131222509,0.00659765699518258,0.000249868843472325,0.0141627428406113,0,0.00738711808396623,0.937720094087918
"TCGA-CV-6937-01A",1.61817349706297e-05,0,0.0106500269527583,0.0957658094166451,0.0561699697740416,5.12211464933361e-05,0.000310787746068416,0,0,0.837036003229023
