"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BB-4224-01A",0,0,0.00827493662943711,0.015610874314302,0.00233942338197561,5.05214848586712e-05,0.00397272453072608,0,0,0.969751519658701
"TCGA-H7-7774-01A",0.000551447584888167,0,0.00581827350818527,0,0,0.000168695976608841,0,0,0,0.993461582930318
"TCGA-CV-6943-01A",0.00650355129250007,0,0.0162488906137368,0.0979866335124363,0.0744563381913795,0.00037101560247771,0.0010720503964832,0,0,0.803361520390986
"TCGA-CN-5374-01A",0.00647061614187216,0.0048724497178319,0.0235782059015862,0.0176385974666614,0.0130378910139426,0.000300670283794791,0.0143823555066174,0,0,0.919719213967694
"TCGA-CQ-6227-01A",8.04266213566302e-06,0,0.0234084997798739,0.17987378343071,0.00272960775810505,0.000341541868879863,0.0713234923835748,0,0,0.722315032116721
"TCGA-CV-6959-01A",0.00204039649736114,0,0.0191549871522278,0.0264664517597937,0.00991295430465414,0.000123170339345265,0.0762125892101603,0,0,0.866089450736458
"TCGA-F7-A61V-01A",0.000623209255151072,0,0.00670195631909033,0,0,0,0.0267953056563151,0.0234932471296622,0,0.942386281639781
"TCGA-CV-7413-01A",0.000192182143428479,0.000115038328782046,0.00984736789803847,0.0571488398973306,0.00465779308469063,7.23788830026392e-05,0,0,0,0.927966399764727
"TCGA-CV-7247-01A",0,0,0.0173438729489912,0.039542924332607,0,0,0.083668962641147,0,0,0.859444240077255
"TCGA-CR-5249-01A",0.00991424706450962,0.00534088655017536,0.0167342466622563,0.0151826344766674,0.0179137506361802,0.000748618638445813,0,0,0.00199945524305576,0.93216616072871
"TCGA-CQ-5331-01A",0.00100166335417491,0,0.0199420501171591,0.00957325311821473,0.014020057448984,5.35707755114288e-05,0,0,0,0.955409405185956
"TCGA-BB-8601-01A",0.00227101129693291,0,0.00785665394332502,0.00119730285216509,0,0.000228418005925751,0,0,0,0.988446613901651
"TCGA-CV-A45W-01A",0.049210968085546,0.000171801411027003,0.0387601950236943,0.0745729029697296,0.029802872782645,0.000522559244895261,2.39545539181812e-05,0,0,0.806934745928545
"TCGA-CQ-7063-01A",0,0.000828159260444712,0.0127624217174666,0.0158436345253921,0.0126823267209341,0.00044500568675294,7.35405779287661e-05,0,0,0.957364911511081
"TCGA-CN-5373-01A",0.000246775262089757,0.00168938810392347,0.0131091763620844,0.0542304431728651,0.00601734118764462,0.000297761333163278,0.00137963418137974,0,0,0.92302948039685
"TCGA-CV-A45T-01A",0.00545980834246574,0.00322005266172589,0.0213951559258123,0.0695106452938974,0.0169644845611273,0.000221739150404299,0.0180201084534208,0,0,0.865208005611146
"TCGA-HD-A4C1-01A",0.000929055537970247,0,0.0115445852588933,0.0186572452175867,0.00129766614907972,0,0,0,0,0.96757144783647
"TCGA-CV-7438-11A",0.00367873397551459,0,0.0145231412716382,0.0096049954967632,0.00864844451877715,0.000306352456733801,0.0048244341455068,0,0,0.958413898135066
"TCGA-CV-5444-01A",0.000812011661574233,0,0.0186634008640701,0.184416220574491,0.0806888320006358,0.000144854319459441,0.0885827398671784,0,0,0.626691940712591
"TCGA-BA-5556-01A",0.00256719767168571,0.00139259663521508,0.0167646595085379,0.0138676136320371,0.0369966226540631,0.000206997840231821,0,0,0,0.928204312058229
"TCGA-P3-A6SX-01A",0,0,0.00603285075351107,0.0237276294857363,0,5.92158774521621e-05,0.0123445050271556,0,0,0.957835798856145
"TCGA-CV-7242-11A",0.000215000428686071,0.000622739560632139,0.0199777443154505,0.027528718784561,0.00456307887052502,0.000121801535390531,4.04485734104413e-05,0,0,0.946930467931344
"TCGA-DQ-7592-01A",0,0.000644583336628375,0.00691138787686719,0.017125989516547,0,0.00021928080385898,0.00990344660942391,0,0.00187145772666888,0.963323854130006
"TCGA-CV-6937-01A",0,0,0.0074126801975232,0.106803601863982,0.00671060663441403,3.88060924240949e-05,8.88902924848412e-05,0,0,0.878945414919172
"TCGA-QK-A8ZB-01A",0.0133399723461454,0,0.00907959186589321,0.0434009416578097,0.00212402743146986,0.000334368508668915,0,0.0154403746335798,0,0.916280723556433
"TCGA-CV-7432-01A",0,0,0.00323601756299301,0.00395955106370483,0,5.75103271271389e-05,2.52731079461495e-05,0,0,0.992721647938229
"TCGA-CV-7089-01A",4.74190934197623e-05,0.000557614722237282,0.0158644788216443,0.00499228396458746,0.000975695299548986,0.000504488269998356,0,0,0.00014860450979823,0.976909415318766
"TCGA-CV-6939-11A",0.000717331885579938,0,0.0337188070657356,0.0906231639095508,0.00446016908332711,0,0.854607262417132,0.0155544298510798,0,0.000318835787594613
"TCGA-BA-4075-01A",0,0,0.00606125482126822,0.0381843092881042,0.001897884586636,2.27144848310264e-05,0.00587854449498564,0,0,0.947955292324175
"TCGA-T3-A92M-01A",0.00723126930967003,0,0.0126719750504114,0.105016885643322,0.0183560804566285,0.000108443844656883,0,0,0,0.856615345695311
"TCGA-BA-4078-01A",0.000468568010110235,0,0.0251228877821325,0.156271498906756,0.0477369673813977,0.000206209693890221,5.64805797570244e-06,0,0,0.770188220167738
"TCGA-CV-7100-01A",0,2.236460780919e-05,0.0202141951003412,0.118964055438169,0.0223383159849761,0.000100077354749749,0,0,0.00178781731113881,0.836573174202816
"TCGA-MZ-A7D7-01A",0,0,0.00299681983455555,0.00219844365450019,0,3.94913437758517e-05,0,0,0,0.994765245167168
"TCGA-QK-A652-01A",5.88163071400256e-05,0.00141254832279804,0.0150771897754659,0.0205046685215343,0.000230190119235135,0.000474915531161989,0.11126238705062,0,0.00344958609089284,0.847529698281151
"TCGA-CV-6433-01A",0.00495744965858762,0,0.0108144746759386,0.04785968746343,0.111550937097494,0.00013178878923174,0.000256327609901943,0.00336090770407089,0.0167039291626692,0.804364497838676
"TCGA-CV-7416-01A",0,0,0.0142219914817029,0.104086374892352,0.0102491695678797,0.000104700249778875,0,0,0,0.871337763808287
"TCGA-CV-A6JY-01A",0.00140720081661487,0,0.00750956496414525,0,0,0.000255660430530321,7.71460129680297e-06,0,0,0.990819859187413
"TCGA-CR-7399-01A",0.0010143675778802,0.00240832738623675,0.0146610038421506,0.0605771066028177,0.111139243826772,8.48444482632759e-06,0,0.011504247553484,0.0092897078648988,0.789397510900933
