Mixture,tumor,Fibroblast,Dendritic,other,T cell,Mast,Macrophage,myocyte,Endothelial,B cell,P-value,Correlation,RMSE
6,0.0793057884247118,0.130540947754089,0.063387511169285,0.46930578870903,0,0,0,0,0.244018173850291,0.0134417900925932,0,0.768689627785613,0.682031749325973
16,0,0.333246445430293,0.0709913467530165,0.0623988078898442,0.223781354713225,0,0,0,0.291382438411934,0.0181996068016871,0,0.811617691640681,0.72402249924512
17,0.236011509107394,0.178663993887214,0.0331317972799661,0.488225939610958,0.0268905491307381,0,0,0,0.0309570393384397,0.00611917164529004,0,0.717417554278371,0.698174068003409
18,0.113376870114315,0.0892772964295762,0,0.639801844757175,0.134260458137599,0,0.0131429511781271,0,0.0101405793832075,0,0,0.757189917708271,0.667409169280854
20,0.268696010738061,0.0759258661059559,0.0650652606206945,0.590312862535289,0,0,0,0,0,0,0,0.687016730107463,0.729129260053495
22,0.171068045905791,0.213505591935852,0.0227711756478027,0.556886741152997,0,0.00550224626814827,0.00756288977881063,0,0,0.0227033093105981,0,0.722254236437163,0.695778092013685
25,0.0953629603589203,0.654878242368722,0.0204863559813544,0.167596821293783,0,0,0.00157680362884408,0,0,0.0600988163683759,0,0.776877262480331,0.69694264157835
26,0.12160754155281,0.436875382783794,0.0667385968301527,0.352592168820734,0,0,0.0115988243425855,0,0,0.0105874856699243,0,0.702426637171655,0.735336686868781
28,0,0.792826433001217,0.0356122608467904,0.12833242080043,0,0,0,0,0.0103727251740735,0.0328561601774892,0,0.82643059945905,0.658209494876497
