Mixture,tumor,Fibroblast,Dendritic,other,T cell,Mast,Macrophage,myocyte,Endothelial,B cell,P-value,Correlation,RMSE
6,0.0718898437119722,0.150882945207892,0.0278943869575473,0.460719899687548,0,0,0,0,0.247522540600963,0.0410903838340773,0,0.788203612787992,0.667227015937031
16,0,0.313375033828271,0.0438872903368671,0.0710707023417384,0.253552407504479,0,0,0,0.315792363033699,0.00232220295494506,0,0.83588860153808,0.709835320652572
17,0.219792498295693,0.212223717226995,0.0130765148813517,0.498894580352932,0.0295172146663379,0.00144068936334374,0.0114110476600516,0,0.00532350417691138,0.00832023337638341,0,0.751672667166357,0.662410576156484
18,0.0656893242152238,0.102548389579771,0.00952559000521869,0.649452400893396,0.113478533493179,0.0050245656911029,0.0459797325895223,0,0,0.00830146353258612,0,0.757438426606337,0.669478989469058
20,0.260529446617771,0.0459551068294058,0.0521820324154668,0.641333414137357,0,0,0,0,0,0,0,0.697349422987483,0.724855169961994
22,0.339331648690024,0.310630322690639,0,0.304524112650544,0,0,0.0257198900789245,0.00177923308483034,0.000688347166350608,0.0173264456386881,0,0.74563070211663,0.667350938767486
25,0.11208397831265,0.6864385774213,0.0160425216145794,0.139246869275643,0,0,0,0.000501338239047899,0,0.0456867151367794,0,0.782108660119203,0.679395248550983
26,0,0.385029626198438,0.0487299012549242,0.554989391922512,0,0,0.011218942568645,0,0,3.2138055480447e-05,0,0.702838798889395,0.729769813371008
28,0.000285147283570184,0.792435094279817,0.014548089300608,0.150209407297301,0,0,0,0,0.013083794062766,0.029438467775938,0,0.842629884029272,0.622886746296654
