Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
6,0.117840564125245,0.515103665468851,0,0,0.191531984007864,0,0.172694194239873,0,0.00282959215816708,0,0,0.623710320023248,0.785223387465734
16,0.400078975817961,0.106778728765191,0,0,0.0720788761338587,0.0196736793125253,0.132943403259911,0.262541100044298,0,0.00590523666625616,0,0.752212764992685,0.679082187821639
17,0.146918475615192,0.473317296564819,0.00407418379260515,0,0.290985296988903,0,0.0413618978231156,0.0107833847911941,0.0322243444480708,0.000335119976100991,0,0.711348598141295,0.70255247514156
18,0.117786112701548,0,0.00400285602763143,0,0.464182182201617,0,0.0188973847237297,0.395131464345474,0,0,0,0.735923347162835,0.682515459734093
20,0,0.833827769180223,0,0,0.163851269100471,0,0,0.00232096171930604,0,0,0,0.654650918202954,0.795894018462547
22,0.213579597260518,0.618581036373483,0,0,0.122315674142855,0.0227111876124117,0,0,0.022812504610732,0,0,0.69593920380037,0.71855147770392
25,0.517493034454109,0.210483994832267,0.00285495812682657,0,0.0456881884902876,0.00443667860248877,0,0.197368749136561,0.0216743963574592,0,0,0.748533214524315,0.687574562368473
26,0.458712567411733,0.396235870792695,0.00616546408546081,0,0.100219441522065,0.00801918148057765,0,0,0.0306474747074691,0,0,0.706150818150796,0.71504452379262
28,0.842148427739271,0.125166974064914,0.0131376574229255,0.00382095262493653,0,0.00273649243624124,0.0129894957117117,0,0,0,0,0.817266590629169,0.627913593527833
