Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
6,0.511126205122511,0,0.00416111759431107,0,0.122474258003062,0,0.308378470992796,0,0.0538599482873199,0,0,0.783992007543466,0.698055826313443
16,0.297838828579347,0.0023065409603629,0,0,0.297245133858673,0,0,0.343635246918451,0.0570866338556949,0.00188761582747176,0,0.787184590306374,0.731273512832152
17,0.0118217151244704,0.256460188508177,0,0,0.406521771952252,0,0,0.274257706958916,0.0509386174561852,0,0,0.703815530017257,0.714712563390101
18,0.160220590829327,0,0.0339748410077071,0,0.215847154557671,0.00416600983939451,0.0631346705471889,0.432818594110939,0.0898381391077723,0,0,0.8264073102359,0.705021339288137
20,0.000916777955612637,0.312155819730472,0,0,0.642201238159414,0,0,0,0.0447261641545014,0,0,0.676125241499207,0.751119011315483
22,0.450300578632708,0.173907121206443,0,0,0.226459824818681,0,0.0472949742253834,0,0.0797982002423658,0.0222393008744188,0,0.767724291197398,0.692863765127506
25,0.389108571687104,0.0235578345555775,0,0,0.21360113010132,0,0,0.328497365641956,0.0452350980140425,0,0,0.783601570555281,0.73593756635461
26,0.466112341275532,0.129096408491137,0,0,0.344691313188198,0,0,0.000872355883446791,0.0592275811616858,0,0,0.731314481076491,0.713628720791884
28,0.625044349104548,0.103512963742144,0.0593469849490804,0,0.174397768932095,0,0.00934644265680821,0.00536659199827711,0.0229848986170478,0,0,0.795576029000974,0.688955633211053
