Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
6,0.363671762816218,0.10181078120555,0.0203994538330865,0,0.351910181779432,0,0.151002302284293,0.0112055180814208,0,0,0,0.730342859725205,0.728670615880508
16,0.250695109383837,0,0,0,0.168036353038225,0,0,0.570326635380202,0.0109419021977354,0,0,0.79231679316168,0.687923798927851
17,0.0574072746534487,0.488179579808302,0,0,0.389993518123096,0,0.0131573772130546,0.0114497952026669,0.0398124549994321,0,0,0.669249625958032,0.745623509721944
18,0.0630416377771375,0.0779271196797993,0.00860585957242813,0,0.284151638432911,0,0.135418043060972,0.428282423848104,0.0025732776286475,0,0,0.786098086679394,0.701460514604914
20,0,0.538623316197293,0,0,0.457531989879212,0,0,0.00384469392349455,0,0,0,0.62919282850563,0.79788144835908
22,0.414259316832562,0.256250355106451,7.35108024871868e-06,2.09972971477649e-05,0.286472233289363,0,0.00525780960145927,0.014663911666989,0.00410593709677214,0.0189620880290077,0,0.713372795521992,0.7239768206655
25,0.352108608888122,0.0683440444912832,0.0117023678917921,0,0.18436239536668,0,0.0028162026969082,0.379128400619518,0.00153798004569682,0,0,0.761605317467229,0.731356506593284
26,0.314027976937343,0.184463726994815,0.00759116610512046,0,0.433499882683891,0,0.000725255725018629,0.0386579235079055,0.0210340680459061,0,0,0.673820939514714,0.753860232603525
28,0.763943118370125,0.00641865697685949,0.00320903494083435,0.0141003344509987,0.185023281552148,0,0.0155635246902578,0,0.0117420490187772,0,0,0.813871593847304,0.657497716016437
