Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
6,0.536089281560752,0,0,0,0.0657738638406895,0,0.379708110851606,0.000191899025635736,0.0182368447213162,0,0,0.776539119704355,0.672983914176393
16,0.267217612378426,0.0464322502365998,0,0,0.234752490648525,0,0,0.404910298282539,0.0346459397803272,0.0120414086735838,0,0.808374880879963,0.68263540977898
17,0,0.361620585599188,0.000647545091479519,0,0.328827102525579,0,0,0.275242957287843,0.0336618094959101,0,0,0.708621426124226,0.708635222728402
18,0.119587841609562,0,0.0133800773597665,0,0.267782301732986,0,0.069205638487595,0.529665224015335,0.000378916794755528,0,0,0.854941240969859,0.636441608532846
20,0,0.671209820388523,0,0,0.295483121524863,0,0,0.0252437609689981,0.00806329711761556,0,0,0.639406275423855,0.806166558161448
22,0.409098677061853,0.254759441438654,1.91100338087227e-05,2.09096261104469e-06,0.164279455903343,0.0619279607189509,0.0410719803977954,0.0448510951134465,0,0.023990188369537,0,0.759933192378301,0.68482026585413
25,0.354641577098013,0.00790978388275567,0,0,0.183201776364286,0,0,0.451003097886781,0,0.00324376476816445,0,0.803494255904641,0.68356597941222
26,0.491442927223033,0.177074694768905,0.00716691462620262,0,0.283045645702696,0.00229039410278816,0,0.0359404497371208,0.00303897383925428,0,0,0.752685216236388,0.688231055199591
28,0.591407231230831,0.180570519807368,0.02610213718162,0,0.121476034267648,0,0.0367531061554285,0.0201867789594595,0.0235041923976441,0,0,0.80818271714174,0.647288629607387
