Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
6,0.350242994486638,0.0383521661758528,0.0216550222904183,0,0.394622970121276,0,0.122540133717278,0,0.072586713208537,0,0,0.794505860521756,0.673554429488905
16,0.278384612766515,0,0,0,0.149900115444959,0,0,0.53374757850356,0.0379676932849657,0,0,0.811930314964414,0.682693496482312
17,0.0681419785046129,0.368297118622166,0,0,0.498255559697684,0,0,0.0138687183459106,0.0514366248296264,0,0,0.703294213508526,0.719176649547474
18,0.0816077503342619,0.00164941230791152,0,0,0.320231913727317,0,0.128355220241066,0.397245316740687,0.0709103866487562,0,0,0.803940897292546,0.698872722511102
20,0,0.29266331719612,0,0,0.655347197786789,0,0,0,0.0519894850170916,0,0,0.694182052603258,0.731814133407726
22,0.447893272900592,0.136997539666181,0,0,0.35380571659697,0,0,0.00375962038015584,0.0388007407749382,0.0187431096811625,0,0.75494047963213,0.684419596752002
25,0.336235148014428,0.017541845515405,0.00304554168717058,0,0.227191733134482,0,0,0.319686254754061,0.0962994768944534,0,0,0.782444528513076,0.720453138374125
26,0.390913426999553,0.131251706546619,0.00265439701262293,0,0.395407742726104,0,0,0,0.0797727267151021,0,0,0.711365121084566,0.718694842068869
28,0.776435222545886,0.000760181451142628,0.0137960741870336,0,0.180638788646356,0,0,0.000828454889736005,0.0275412782798457,0,0,0.838233920847491,0.617695854963272
