Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
6,0.14842309466683,0.467771973311224,0,0,0.139092739665864,0.00862434099179209,0.123275575871822,0,0.112812275492468,0,0,0.678063292726302,0.73490037297995
16,0.419174903888839,0.0265969520877097,0,0,0.108288561492003,0,0.128383549678456,0.281262751109981,0.0311957622101306,0.00509751953287976,0,0.829821892627322,0.706643410845027
17,0.169133859536202,0.379170814347426,0.0217615624458532,0,0.312406193552155,0,0.0852858069475632,0,0.0281828903108936,0.00405887285990641,0,0.742215748244516,0.66873244576643
18,0.183097002392234,0,0.0342507660104747,0,0.263729441400197,0,0.0444090129606067,0.407028727114714,0.067485050121774,0,0,0.797710471977542,0.723370594504932
20,0,0.395708429184184,0,0,0.564303930701632,0.0199367134824785,0,0,0.0200509266317053,0,0,0.67585357057153,0.776302972822026
22,0.209789252104209,0.415926053265979,0.0520958668471988,0.000961457436229329,0.202704938051115,0.108763962875108,0.00975846942016164,0,0,0,0,0.723981720387474,0.688506019315043
25,0.498691148244912,0.104540067139709,0.00798494153916362,0,0.123158790131794,0.0142395595555696,0,0.196977183442932,0.05440830994592,0,0,0.771379368706643,0.723282907959713
26,0.487651984576681,0.260898798649747,0.0079033969093622,0.000194000355579862,0.101267319440197,0.0275238040251191,0.0379956653958057,0,0.0765650306475078,0,0,0.669822753281237,0.752391380646358
28,0.768672175297901,0.113379987568746,0.00566355898317705,0.000954716568059114,0.043131709794199,0,0,0,0.0681978517879178,0,0,0.824578440853638,0.63674079432745
