Mixture,tumor,Fibroblast,Dendritic,other,T cell,Mast,Macrophage,myocyte,Endothelial,B cell,P-value,Correlation,RMSE
6,0.155322578628302,0.15499924768113,0.0417956921816634,0.395748097699455,0,0,0,0,0.25213438380945,0,0,0.712375132363828,0.719057032672952
16,0,0.327798360391878,0.0124250186138421,0.064474345319207,0.269838487327008,0,0,0,0.325463788348065,0,0,0.763108869100728,0.728005285880478
17,0.374180407829136,0.148009462874246,0.00397518985673573,0.417214202078202,0.0203820327652466,0,0,0,0.0314313288030133,0.004807375793421,0,0.683975972939569,0.729309042615999
18,0.18816721732724,0.0511118824751063,0,0.587316184760912,0.108486447409008,0.00203454004369072,0,0,0.0628837279840424,0,0,0.741278322277845,0.678994303420842
20,0.526463208160428,0.051765103497664,0.00275689055655087,0.419014797785358,0,0,0,0,0,0,0,0.645652935733427,0.785406438451424
22,0.355654123608652,0.187803969593351,0.00834234852478757,0.444870185362473,0,0.00270391802645328,0,0,0,0.000625454884283149,0,0.686317260941299,0.727040569472454
25,0.192267187681374,0.642958303526578,0.0125140464521574,0.108119959452324,0,0,0,0.00023413031088636,0,0.0439063725766802,0,0.729796870917902,0.723751452320302
26,0.284907243193835,0.416539652489022,0.0474578338032891,0.216621021002813,0,0,0.0296099649259818,0,0.00181290434220007,0.00305138024285965,0,0.674502041395268,0.748243763463743
28,0.00433106477814278,0.779790615029145,0.00672351699922311,0.152738422570885,0,0,0,0,0.00958876813278424,0.0468276124898204,0,0.800341600404157,0.677840000862682
