Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
6,0.291128949368934,0.312194680433275,0,0,0.31970487030748,0,0.0521736849177849,0.00906351106341428,0.0157343039091115,0,0,0.727334668318779,0.686556436659557
16,0.00127071116365433,0,0,0,0.00636146810489509,0,0,0.992367820731451,0,0,0,0.866094744364739,0.54334797455224
17,0.0267835442589328,0.312496126570524,0,0,0.43322021598969,0,0,0.217923503322293,0.00957660985856004,0,0,0.727910403673739,0.685069443134179
18,0,0,0,0,0.601195862815104,0,0,0.398804137184896,0,0,0,0.815825500581655,0.624143288322984
20,0,0.563940324395169,0,0,0.426340522662193,0,0,0.00326503165549138,0.00645412128714625,0,0,0.680745294469718,0.778321139691508
22,0.240084841673009,0.215841159108759,0,0,0.439262909453724,0.0401326821057672,0.00198690774318592,0,0.000909399364884613,0.0617821005506696,0,0.755650000396784,0.662036729982825
25,0.421610824928138,0.217080251019532,0.0126809344529208,0,0.341542279504894,0,0,0,0.00708571009451555,0,0,0.78342605032325,0.634747771059499
26,0.161431170393378,0.242525214138863,0.000617614065769683,0,0.498551595452757,0,0,0.0357810264144569,0.0610933795347754,0,0,0.711036789128318,0.702518053579861
28,0.675830864630918,0.0799738251617922,0.006667426710683,0,0.201508896655651,0,0,0.0260672112046887,0.00995177563626737,0,0,0.852692716298338,0.574463575333945
