"","B-cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T-cell","tumor"
"TCGA-BB-4224-01A",3.16371766050731e-06,4.5570018492793e-06,0.00431903007324279,0.012680865335216,0.021679454468597,0.000197221364946999,0.00744105059733992,3.79156919067116e-06,0.000411654306960176,0.953259211564997
"TCGA-H7-7774-01A",0.000331281804397445,0.00138709959800289,0.00606821135634516,0.000431943966884697,0.015633373970146,0.000600207175164728,5.25573022246049e-05,0.000641624219376961,0.00212192334785416,0.972731777259603
"TCGA-CV-6943-01A",0.0046706623953961,0.00212284334165604,0.0195955318065491,0.456645850099273,0.0931535559186374,0.000959188245785798,0.000495742780442657,5.01396634258652e-07,0.00341512088789854,0.418941003127728
"TCGA-CN-5374-01A",0.00801956900850879,0.00391228312328526,0.0155152185177586,0.0215637351033889,0.0294902407287159,0.00072326115744397,0.0130048937806376,8.68454433440306e-06,0.0211954435943872,0.886566670441539
"TCGA-CQ-6227-01A",2.53252216390289e-05,3.8575932297423e-06,0.0351428687268241,0.241508629879158,0.0176510138301122,0.000523505456697398,0.124965607263685,2.07685307672962e-06,0.000896822431708927,0.579280292743869
"TCGA-CV-6959-01A",0.00136766684537237,8.74619354115432e-06,0.0296001881794798,0.0967278678235582,0.0506562758517842,0.000289111164215976,0.127007539745791,1.50312798494569e-06,4.13347012647721e-06,0.694336967598146
"TCGA-F7-A61V-01A",0.000802634028443717,5.68260315692232e-06,0.00775053715661466,0.0187688935318528,0.00723256874638236,3.85094183103849e-06,0.0408368452829522,0.02515167026077,0.0014156586495679,0.898031658798428
"TCGA-CV-7413-01A",2.68281632537328e-05,6.06841155038672e-06,0.00491907134452097,0.282020370446673,0.0401204185704935,0.000168839348530729,4.97528122223974e-07,2.22427650263133e-06,3.18439011116611e-06,0.672732497520242
"TCGA-CV-7247-01A",4.79562056044073e-07,1.17917389212017e-06,0.0320067603711686,0.175274115328246,0.00240618329494353,2.33466813319871e-05,0.15619324298392,2.10233879943026e-06,9.65597003015526e-06,0.634082934295612
"TCGA-CR-5249-01A",0.0113858508760994,0.00566156112210508,0.0228972967504848,0.053315778938069,0.0517414577599318,0.00138167986143562,7.68408548283289e-07,3.52447753202488e-06,0.0252880044938802,0.828324077311914
"TCGA-CQ-5331-01A",0.00103309987650762,0.00115695848643387,0.0250463339867883,0.0480678042214654,0.100863128116932,8.47548909092353e-05,1.6502684861322e-05,1.15670247344379e-06,2.6765199663916e-06,0.823727584513663
"TCGA-BB-8601-01A",0.00225324394228064,6.1940589106763e-06,0.00535222772714686,0.0053762103861383,0.000578643006047645,0.000899907497543728,2.67020269366575e-06,1.72318025079017e-05,0.000753804498069845,0.984759866878661
"TCGA-CV-A45W-01A",0.0606004613796178,2.22778695967928e-05,0.04490899812584,0.11216004424688,0.0674039000393744,0.000868462757051867,1.76863199193011e-05,0.000299097622363126,0.0102800160481866,0.70343905559117
"TCGA-CQ-7063-01A",7.62547091789898e-06,0.000585729634757597,0.011953323108222,0.024417784178995,0.099760510072023,0.000745265848348876,8.59512549529051e-05,2.87772892856637e-06,7.25318089955344e-05,0.862368400893858
"TCGA-CN-5373-01A",7.75753947857134e-05,0.000668585832528401,0.011298573197652,0.257189487903133,0.0422270383123157,0.000503209047739718,0.00226935981636565,2.31450009527433e-06,0.000910794524034071,0.684853061471351
"TCGA-CV-A45T-01A",0.0066336099569041,0.00379845930295879,0.0217256145074901,0.0643344728387336,0.0787691395581936,0.000586469224286083,0.0296746366653955,0.00210465366536143,0.0108840857916603,0.781488858489016
"TCGA-HD-A4C1-01A",0.00110552953942131,2.68883201299371e-06,0.0142752248209838,0.122329974193418,0.0106918157119366,5.92498314316915e-07,8.97620181996565e-07,1.61536207033091e-06,0.000164787444028955,0.851426873977632
"TCGA-CV-7438-11A",0.00234719825539643,0.000359422835839084,0.00790193760958563,0.0106730988555882,0.0327621634806008,0.000428293356531093,0.00744260142079204,0.0127394304832677,0.00362465563758212,0.921721198064817
"TCGA-CV-5444-01A",1.02085281228253e-05,1.69661426474197e-06,0.0159589178489437,0.560726348289266,0.0736070312329974,0.00018640601748338,0.0583814054366259,8.21419129627293e-07,2.36797453404577e-06,0.291124796638632
