"","B-cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T-cell","tumor"
"TCGA-BB-4224-01A",2.41196042815126e-06,8.42829395654554e-06,0.0215544538434951,0.0250486422554722,0.0273683310786415,0.000282191241215118,0.00826110031254642,2.30727796483385e-05,0.00574635523056869,0.911705013004028
"TCGA-H7-7774-01A",0.000294683529071602,7.65439631760972e-05,0.0149440141392752,0.0066231895701547,0.0258047190477101,0.00151845726188391,2.65623376795029e-05,0.00283294833531501,0.0058752496417415,0.942003632173992
"TCGA-CV-6943-01A",0.00329306356584742,0.00101178969627501,0.0358803873753529,0.382291435797166,0.135419661605475,0.000807405041879179,0.000420760449132311,3.15193369419429e-07,0.0101736755127944,0.430701505762709
"TCGA-CN-5374-01A",0.00570943498517227,0.00325928936296499,0.0373233888901852,0.0270083575084296,0.0526194042843586,0.00067717249460195,0.0121631494700045,2.09818651159583e-06,0.0287107194705195,0.832526985347252
"TCGA-CQ-6227-01A",1.74912980865179e-06,8.10541584143904e-07,0.0901147002806092,0.22386960961527,0.0170845417506142,0.000500879365182812,0.115984219582465,1.28875176093048e-06,0.00321159503403387,0.549230605948672
"TCGA-CV-6959-01A",0.000902703221478848,1.88742824389197e-06,0.0718470655899129,0.081867895539953,0.0507904771518396,0.000263504263489981,0.108933194046091,1.4674990513021e-06,0.00475104518823212,0.680640760071707
"TCGA-F7-A61V-01A",0.000591392498265872,2.02102447363508e-06,0.0209836256943391,0.0291989212493858,0.00793646539661018,4.29422919907888e-05,0.0414941498884136,0.0177327457679121,0.00531163860430485,0.876706097584304
"TCGA-CV-7413-01A",3.45307853598668e-05,1.28975867323523e-06,0.0131099309417161,0.242708361998465,0.0453670058514602,0.000140651439501752,4.19566234689409e-07,0.00105791474186705,0.00299184381462181,0.6945880511021
"TCGA-CV-7247-01A",3.46123236724948e-07,6.82514807954231e-07,0.0525303533679822,0.137136605453737,0.00313836561268857,1.21719438115814e-05,0.140166565614089,9.07343992975042e-07,0.000574153614783621,0.666439848410871
"TCGA-CR-5249-01A",0.00805878763765921,0.00482311425706424,0.0530603957557521,0.0505773465124603,0.0883090415721042,0.00136871694000921,9.21906938867432e-07,1.3545881792185e-06,0.0314622252926225,0.76233809553721
"TCGA-CQ-5331-01A",0.000723063020580597,0.000238269286338431,0.0595168151604593,0.0504962628035775,0.117688732563189,5.4642502301033e-05,4.45548969459517e-06,0.00065740309591107,0.00576112144000194,0.764859234637946
"TCGA-BB-8601-01A",0.00166397741334316,2.83163990719348e-06,0.0174873270377833,0.0137589103815648,0.000124371908401108,0.000987834133769699,2.27624799081607e-06,1.44066912516129e-05,0.00182925862598937,0.964128805919999
"TCGA-CV-A45W-01A",0.0466126806381915,0.000131628221979911,0.0797779480516368,0.102720736763205,0.109197007936029,0.000809352490075301,2.69474830418992e-05,0.0011121170767996,0.0172397822291352,0.642371799109906
"TCGA-CQ-7063-01A",1.34230588202388e-05,1.83284513730705e-05,0.0392819111769667,0.024872418825571,0.122071339069827,0.000668756273917019,8.17550018889294e-05,0.000107535698409776,0.00578176205607876,0.807102770387148
"TCGA-CN-5373-01A",7.27028773921971e-05,1.13987717008257e-05,0.0264459567090137,0.238378300410883,0.0522783435736793,0.000619794428345248,0.00222274808799758,0.000722760110384082,0.00661070577728147,0.672637289253323
"TCGA-CV-A45T-01A",0.00458185165596906,0.00103540686306715,0.0476840209301956,0.0660418933979608,0.0958413136111287,0.000626552499623016,0.0299367192469473,0.000977139672172418,0.0293618255634025,0.723913276559534
"TCGA-HD-A4C1-01A",0.000759278219657723,1.3421812735431e-06,0.0368007442805293,0.119496910130435,0.0137728856545362,8.66390226072367e-07,6.16741218348812e-07,8.36995584860472e-07,0.00494438830871452,0.824222131097825
"TCGA-CV-7438-11A",0.00170899831109517,0.000314622646565379,0.0198610682074296,0.0159203169691632,0.0367711946731788,0.00057446464924221,0.00702591802250576,0.00464326544910672,0.0108157473672835,0.90236440370443
"TCGA-CV-5444-01A",4.09190434730239e-06,1.27307729297383e-06,0.0340552746528943,0.488295591811657,0.103478812827466,0.000165961672539009,0.0570695728961097,6.95285389714659e-07,2.10832616191343e-05,0.316907642610686
"TCGA-BA-5556-01A",0.00116955776465273,0.00233706366024962,0.0512682110900447,0.0530025636744954,0.132171519898845,0.000320860959917763,4.52662437709608e-07,3.26903181050663e-06,0.012883645217032,0.746842856040514
"TCGA-P3-A6SX-01A",2.24829788732594e-06,1.0582259270404e-06,0.0284106179141594,0.134514495453533,0.000253889792172566,0.000192541172180886,0.0249722392555569,2.29073902067019e-06,0.00177544003216847,0.809875179117394
"TCGA-CV-7242-11A",0.000122521547613694,2.62959208487853e-06,0.0236277448887184,0.0224238613383125,0.029639131578317,0.000725793078470687,0.000447636093336004,0.0128263490666122,0.00588778566004384,0.904296547156491
"TCGA-DQ-7592-01A",2.99945171795489e-05,2.21697015867677e-06,0.0290312074927361,0.147175573401812,0.0225392805677689,0.000277350291539733,0.0268364578679793,2.63431976518365e-06,0.00631855057351536,0.767786733997545
"TCGA-CV-6937-01A",1.68529800709503e-06,2.23300849016255e-06,0.0205001014411534,0.18499082161091,0.0528728547715664,6.14928759316714e-05,0.000106665050893681,1.46444324855968e-06,8.5633323247463e-06,0.741454118167474
"TCGA-QK-A8ZB-01A",0.0102957667172693,1.55322345216346e-06,0.0303626130450708,0.157637382711503,0.0165042948632304,0.000761841521312801,8.47596215256446e-07,0.00423866081759351,0.00486000739709481,0.775337032107258
"TCGA-CV-7432-01A",6.02734213441632e-07,1.68442731481161e-06,0.0223238721401507,0.0390408505005444,0.00749895157837705,0.000226436469502882,5.38606697087131e-05,8.10432703160414e-07,0.00158862463956168,0.929264306407923
"TCGA-CV-7089-01A",6.50431830108965e-05,6.34925668445963e-06,0.0492636894465967,0.0264617526959835,0.0178688833824277,0.00116263231358276,1.08339599433301e-06,1.07122572661035e-06,0.00594055220110965,0.899228942898883
"TCGA-CV-6939-11A",7.44309013388982e-07,3.12154111280612e-07,0.0403490933018496,0.0367854274820493,0.00236277665221301,3.82075610411462e-07,0.736631664801796,0.183868385109733,3.7597626697878e-07,8.38137357607719e-07
"TCGA-BA-4075-01A",8.25481595270632e-07,1.14692497149709e-06,0.0320183340013679,0.0430787054340633,0.03169753036531,5.91334471587178e-05,0.00829837980880695,9.68968706749896e-07,0.00699317715897907,0.87785179840904
"TCGA-T3-A92M-01A",0.00433984107011804,1.2270713786677e-05,0.0210140306450118,0.328287055572468,0.0781631365705832,0.000216527676692397,4.1875122210384e-07,7.45013338068925e-07,0.00610214545968504,0.561863828527095
