Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
TCGA-BB-4224-01A,0.0615678550344996,0.871013151623328,0,0.00154517386444248,0.0320988471098045,0.0050411537645363,0,0.00066356909452284,0.0280435724542892,2.66770545772841e-05,0,0.869220538089919,0.496431710528075
TCGA-H7-7774-01A,0.013509292288397,0.913809576665299,0,0,0,0.0726811310463039,0,0,0,0,0,0.794833052726774,0.609773702464974
TCGA-CV-6943-01A,0.0661834959312054,0.665031579968248,0,0,0,0.268784924100547,0,0,0,0,0,0.848570713204882,0.548512261976249
TCGA-CN-5374-01A,0.0916467329338528,0.469112879719306,0.012073394819128,0.0168317442975628,0.202120844237882,0.200465074323012,0.00430454061044096,0,0.00344478905881481,0,0,0.683696315670388,0.733257796313582
TCGA-CQ-6227-01A,0.143365933329317,0.729634643283507,0.00278194572418136,0.05716104387481,0,0.0667920110254642,0,0,0,0.000264422762721064,0,0.925829710949813,0.441115977345225
TCGA-CV-6959-01A,0.0356021362573306,0.805560976914744,0.00587646159519077,0.0479067567563655,0,0.104790058484439,0,0,0,0.000263609991930437,0,0.90001581046382,0.455984070409895
TCGA-F7-A61V-01A,0.026704785128729,0.900624485024155,0.000514658181223559,0.0193327823141898,0.0397736821809136,0.0130400260541923,0,0,0,9.58111659626654e-06,0,0.90132295256862,0.436460937289046
TCGA-CV-7413-01A,0.0676939302060858,0.854400457588334,0,0,0,0.0778050599262472,0,0,0,0.00010055227933311,0,0.878491262620182,0.48351004592713
TCGA-CV-7247-01A,0.106278168019055,0.796625875720682,0.00393060092336341,0.0852038916002361,0,0.00368739803604081,0.00417432887352604,0,0,9.97368270964444e-05,0,0.814686613462577,0.583715798530109
TCGA-CR-5249-01A,0.0839897783626863,0.46993472559426,0.0310365434934866,0,0.096380997145689,0.305780924018666,0.00888035651420038,0,0.00399667487101161,0,0,0.617880891452829,0.785946698354909
TCGA-CQ-5331-01A,0.0135372676711995,0.781738395411483,0.00127074739036148,0,0,0.203453589526956,0,0,0,0,0,0.885233033538681,0.478997772556614
TCGA-BB-8601-01A,0.0382262848401206,0.958639462466181,0.00295363868914223,0,0,0,0,0,0,0.000180614004556366,0,0.843442338067415,0.538939831832879
TCGA-CV-A45W-01A,0.117179790806117,0.46197610455969,0.129488961992437,0,0.108912906764893,0.182317965658113,0,0,0,0.000124270218750612,0,0.771440862309273,0.664577956095812
TCGA-CQ-7063-01A,0.012133544095275,0.813271022240054,0,0,0,0.174595433664671,0,0,0,0,0,0.890755860075641,0.465884440251958
TCGA-CN-5373-01A,0.0713424342216188,0.804956134794801,0,0,0,0.123701430983581,0,0,0,0,0,0.799518998866729,0.601231748484693
TCGA-CV-A45T-01A,0.0593701788458479,0.797391552998929,0.00212255733804267,0.0127304021162621,0,0.128004260447868,0,0,0,0.000381048253050615,0,0.880507856138102,0.487812331770478
TCGA-HD-A4C1-01A,0.0493446012652576,0.906678102645439,0.00550766630402661,0,0,0.0383853890161399,0,0,0,8.4240769137355e-05,0,0.912171580617923,0.415673853325975
TCGA-CV-7438-11A,0.0470834906487567,0.725430713293363,0,0.00642700337041801,0.0844522691680453,0.136606523519417,0,0,0,0,0,0.760187726712536,0.649924998063437
