Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
TCGA-BB-4224-01A,0.0341228695984072,0.898119400746019,0,0.00429150036052438,0.0179214791871711,0.0262745361448201,0.00086855461734593,0.00669408766713542,0.0117075716785771,0,0,0.88856670470847,0.46028682981246
TCGA-H7-7774-01A,0.000949359186630933,0.93294067732422,0,0,0,0.0657399903255043,0,0,0,0.000369973163644355,0,0.800593281099668,0.61862574651372
TCGA-CV-6943-01A,0.0865518278613018,0.68034909377562,0,0,0,0.233099078363078,0,0,0,0,0,0.835925547020631,0.55351861411856
TCGA-CN-5374-01A,0.0587301774311937,0.606968804649448,0.00412031576020065,0.0174691370034203,0.127726726181074,0.170824448985301,0.00498809971090733,0,0.00917229027845434,0,0,0.695822173627691,0.71870851194947
TCGA-CQ-6227-01A,0.155317741921736,0.747109229258462,0.000257334404645937,0.0395480432932907,0,0.0575538893447109,0,0,0,0.000213761777154895,0,0.913317641226267,0.425830356865593
TCGA-CV-6959-01A,0.0405595665958181,0.829877593053341,0,0.0484957684921087,0,0.0810670718587324,0,0,0,0,0,0.910050941715226,0.416859485550101
TCGA-F7-A61V-01A,0.0204619796507072,0.871499066785134,0,0.0332630890248875,0.0635720333273752,0.0112038312118966,0,0,0,0,0,0.902539578088676,0.430806978895398
TCGA-CV-7413-01A,0.0865488181488419,0.843163207717259,0,0,0,0.0702879741338989,0,0,0,0,0,0.872962977798405,0.487604669209511
TCGA-CV-7247-01A,0.102602328011395,0.791893442491113,0,0.0981316137514798,0,0.00652973444828217,0.000842881297730715,0,0,0,0,0.834501080302935,0.550773588541305
TCGA-CR-5249-01A,0.0666594957463359,0.583831674898639,0.00414259809431423,0,0.0532448043032929,0.292121426957418,0,0,0,0,0,0.634476538273139,0.777305874563179
TCGA-CQ-5331-01A,0.0308810872110162,0.787723290715691,0,0,0,0.181395622073293,0,0,0,0,0,0.877089421656426,0.481497504686326
TCGA-BB-8601-01A,0.0137803006483405,0.986111650479189,5.76955592670273e-06,0,0,0,0,0,0,0.000102279316543422,0,0.852418239108303,0.5429164426582
TCGA-CV-A45W-01A,0.129695529346933,0.553273911590737,0.0538343101929163,0,0.0576649020346113,0.190549928080839,0.0149814187539635,0,0,0,0,0.770702663181906,0.644752730613344
TCGA-CQ-7063-01A,0.0117770126983628,0.818383266385772,0,0,0,0.169839720915865,0,0,0,0,0,0.883521481899019,0.468622857156105
