Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
TCGA-BA-4075-01A,0.024770420531983,0.868027455750274,0,0.00981616214043255,0.00293199735666272,0.0102375164966003,0.0387896546487604,0.0318826573951861,0.0135441356801007,0,0,0.965799506671882,0.259557467128231
TCGA-T3-A92M-01A,0.0744385146445763,0.768503380423348,0,0,0,0.157058104932075,0,0,0,0,0,0.910441223071534,0.413961577347381
TCGA-BA-4078-01A,0.123278413581978,0.702340178793732,0,0,0.0245834821606525,0.149797925463638,0,0,0,0,0,0.749077186527607,0.668300280429864
TCGA-CV-7100-01A,0.044470822565061,0.746417423168431,0,0,0.0156012173657203,0.169265034071322,0.0242455028294653,0,0,0,0,0.847444634930214,0.531506853919064
TCGA-MZ-A7D7-01A,0.00618841042254569,0.882620008859889,0,0,0.0288767932005229,0,0.0197434701197459,0.0447005559663553,0.0166549819080226,0.00121577952291864,0,0.929829218963151,0.373958795531999
TCGA-QK-A652-01A,0.00949763011862246,0.87386655107238,0,0.0525755667347113,0,0.0584702519642874,0,0,0.00559000010999912,0,0,0.880894943785246,0.483055052735216
TCGA-CV-6433-01A,0,0.668542564354568,0,0.00287193928816918,0,0.328585496357262,0,0,0,0,0,0.798609204433634,0.602794459064526
TCGA-CV-7416-01A,0.0921948613728372,0.802847484657457,0,0,0,0.104957653969705,0,0,0,0,0,0.795461012841053,0.617299318056385
TCGA-CV-A6JY-01A,0,0.984500582464044,0,0,0,0.0150147704851875,0,0,0,0.000484647050768536,0,0.88310085500759,0.5082107076524
TCGA-CR-7399-01A,0.0186248345301987,0.5832477347696,0,0,0,0.398127430700202,0,0,0,0,0,0.768135812215465,0.640346129672947
TCGA-CV-7568-01A,0.148253376933304,0.713388503516836,0,0.0306598922231946,0.0448078144873748,0.0628904128392904,0,0,0,0,0,0.729927448990542,0.693527623070382
TCGA-KU-A66S-01A,0.0927140978154134,0.73122137009474,0.000259990562713394,0,0.110345228826347,0.0295220739784975,0.0350404701669586,0,0.00089676855532985,0,0,0.775346564348176,0.64124987267967
TCGA-QK-A6VC-01A,0.0160363256059795,0.651637076840159,0.000578265400185799,0.000873067760005595,0.0465366031713629,0.240175701944154,0.0191142222748898,0,0.0250487370032633,0,0,0.718539674381311,0.703162436921309
TCGA-CN-6998-01A,0,0.980063927371099,0,0.00171648550522582,0,0.018219587123675,0,0,0,0,0,0.922065355456677,0.416089857288159
TCGA-CV-6941-01A,0.0443250359408227,0.904872140298227,0,0,0,0.05080282376095,0,0,0,0,0,0.941470249518068,0.343100649267096
TCGA-CN-4727-01A,0.101266248030786,0.866817005788236,0,0,0.0192863883355586,0,0,0.0126303578454203,0,0,0,0.869523435480554,0.50506633616563
TCGA-BB-A5HY-01A,0.0380544306990064,0.940835099519052,0.000383993717644498,0.00152611283000432,0,0.0160200465585262,0,0.00318031667576713,0,0,0,0.883044827625569,0.493895442895859
TCGA-CV-7263-01A,0.0710817899033439,0.720925068101433,0,0.0337195213839836,0,0.172958109598459,0.00131551101278043,0,0,0,0,0.867693632776516,0.497071407470102
TCGA-H7-A76A-01A,0.125998067343207,0.549579684131491,0.00443283110906568,0,0,0.308138531482559,0,0,0.0118508859336769,0,0,0.832180744566541,0.560713651235657
TCGA-CN-4723-01A,0.0391777171505182,0.812510898713469,0.000194618165863061,0.00031117900506843,0.0305882762772224,0.117217310687859,0,0,0,0,0,0.914490742899714,0.405041084484369
TCGA-CN-6997-01A,0.0975366879716587,0.760757269498429,0,0,0.0618966524301618,0.0622231692528037,0,0.0164960775833954,0.00109014326355118,0,0,0.799087480516497,0.608817324785254
TCGA-CN-5364-01A,0.0303995261830458,0.827484046566988,0,0.0299017936683443,0,0.112214633581621,0,0,0,0,0,0.745647853138927,0.693028012179734
TCGA-CN-A63V-01A,0.059164375571825,0.926361847145213,0,0,0,0.00613132101731056,0,0.00834245626565182,0,0,0,0.930254235742988,0.378726784133993
TCGA-CQ-5325-01A,0.0115685964971951,0.71094767208461,0.00568750143422506,0.0412401886585085,0,0.230556041325462,0,0,0,0,0,0.857265665691811,0.514593770568629
TCGA-CR-7386-01A,0.102688385927561,0.596859023292978,0,0.000367157807584046,0,0.300085432971878,0,0,0,0,0,0.693940643244671,0.724029552786253
TCGA-CX-A4AQ-01A,0.0308921463002349,0.534583518216552,0.000414795059192297,0.00118515873190201,0,0.425487089609084,0.00743729208303481,0,0,0,0,0.827676580120617,0.563483497994225
TCGA-QK-A64Z-01A,0.0239073696797355,0.932812448282505,0,0,0.00856416998776824,0.00930748809183623,0.00891824719356876,0.00369130061294224,0.0127989761516436,0,0,0.853916316985526,0.550310652497144
TCGA-BB-4225-01A,0.0364982586108092,0.599558420418151,0.00628588785443442,0,0.0343201524952596,0.323337280621346,0,0,0,0,0,0.73752092724149,0.677111633653631
TCGA-CV-7183-11A,0.00499887998809415,0.911085106636209,0.00122715935100724,0.0031911851269246,0.0177546230639494,0.039887136870954,0.0120353759596457,0.00907167576754043,0,0.000748857235675399,0.01,0.491727412502654,1.01639380979984
TCGA-T2-A6WZ-01A,0.0081815367332602,0.953849115945332,0.00247423708924041,0,0,0.0354951102321671,0,0,0,0,0,0.842077816541175,0.577775869950773
TCGA-HD-8314-01A,0.0336642824718511,0.40032327725587,0,0.155181298133812,0.0926618729899756,0.292668123146622,0.02550114600187,0,0,0,0.01,0.661332630830271,0.749368122758608
TCGA-CR-6473-01A,0.0424197602187837,0.923052913495072,0,0,0,0.0286423125983865,0,0,0.0058850136877575,0,0,0.83818372509274,0.574952945737573
TCGA-CN-A642-01A,0.0245712815421205,0.762637274205497,0,0.0129226311169288,0,0.19766807178976,0.00220074134569324,0,0,0,0,0.916334014969901,0.401126913494526
TCGA-BB-A6UO-01A,0.0253236807848807,0.958378969741277,0,0,0,0,0,0.016297349473842,0,0,0,0.931162112845083,0.384822635347206
TCGA-DQ-7591-01A,0,0.421558995510251,0.0025274325839518,0.00841769664362452,0.0968209870191685,0.393299756252463,0.024624703681772,0.0202556907159044,0.0324947375928642,0,0.01,0.467499708353399,0.921431863047133
TCGA-CR-7398-01A,0.0961982315942943,0.800882235729951,0,0,0,0.0993351741476156,0,0.0035843585281392,0,0,0,0.748805288176365,0.682382421419474
TCGA-HD-8634-01A,0,0.970415337111994,0,0,0,0.0295846628880059,0,0,0,0,0,0.893099976535274,0.481767201667996
TCGA-CR-7372-01A,0.0643878485746826,0.888314133231476,0,0.00222934882484708,0,0.0450686693689944,0,0,0,0,0,0.868231691350266,0.510505286967999
TCGA-HD-8224-01A,0.0375290156926988,0.45712013529069,0,0.367469154592001,0.0259197927380539,0.0867645043530563,0.0166335623944876,0.00183287907841518,0.00673095586059707,0,0,0.698565559643198,0.714919644600475
TCGA-BA-4074-01A,0.145628944934669,0.631010963815324,0.00271900301343564,0.00690308922688814,0,0.014133383346463,0.0625191759263031,0.117774709243015,0.0193107304939022,0,0,0.866461768575382,0.505168030745318
TCGA-CV-6961-11A,0.0224109050996189,0.937272169279123,0,0.0149051624488816,0,0.0253576449396348,0,0,0,5.41182327417635e-05,0,0.82868981476264,0.596089231501585
TCGA-BB-A5HZ-01A,0.0165678963711715,0.983432103628828,0,0,0,0,0,0,0,0,0,0.913129815542136,0.439553170859527
TCGA-CQ-5332-01A,0.0650722042529934,0.881986453512999,0,0,0,0.0529413422340072,0,0,0,0,0,0.813609117972092,0.605444056242222
TCGA-CR-7380-01A,0.0644334954280414,0.870851923001706,0,0,0,0.0647145815702524,0,0,0,0,0,0.867624172832259,0.508251425281569
TCGA-CV-6936-01A,0.0208122138271852,0.78606521023979,0,0,0.000148983540319619,0.192973592392705,0,0,0,0,0,0.806882361152383,0.599292118468063
TCGA-MZ-A6I9-01A,0.0163344033528589,0.8066851341732,0.00994262513445672,0.0010476962960018,0.0780216117904202,0.0558684908825216,0.0321000383705412,0,0,0,0.01,0.522277014116277,0.950833265454649
TCGA-QK-AA3J-01A,0.0428067077523679,0.745388973418675,0.000534239316819771,0.00248562413237164,0.161143456751394,0.0112278866711731,0.0213452641474908,0.0150678478097084,0,0,0,0.783531045332919,0.635474146385031
TCGA-BA-4077-01B,0,0.763029434971896,0,0,0,0.23329510823084,0.00367545679726414,0,0,0,0,0.916581053418043,0.400200957148411
TCGA-CQ-A4C7-01A,0.0877112902408475,0.816051517661723,0,0.0113958857548578,0.000917399183045608,0.0839239071595258,0,0,0,0,0,0.87365674297564,0.489073694457663
TCGA-CV-7422-01A,0.103416721601176,0.816583294584983,0,0.00182511790679107,0,0.0781748659070502,0,0,0,0,0,0.85094618443579,0.530253625442202
TCGA-CQ-A4CB-01A,0.0909026580517683,0.787431824010093,0,0.00109096362514411,0.0426245991949808,0.0773043345900024,0,0,0,0.000645620528011465,0,0.891957740304113,0.452443900520366
TCGA-F7-7848-01A,0.0224817113425205,0.739345572524186,0,0,0.0493508751108842,0.188821841022409,0,0,0,0,0,0.831417155373508,0.557961481370086
